Date/Time,DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
 01/01  01:00:00,15.0,0.0,0.0,1.17,0.0
 01/01  02:00:00,15.0,0.0,0.0,1.28,0.0
 01/01  03:00:00,15.0,0.0,0.0,1.33,0.0
 01/01  04:00:00,15.0,0.0,0.0,1.38,0.0
 01/01  05:00:00,15.0,0.0,0.0,1.43,0.0
 01/01  06:00:00,15.0,0.0,0.0,1.47,0.0
 01/01  07:00:00,15.0,0.0,0.0,1.51,0.0
 01/01  08:00:00,15.0,0.0,0.0,1.51,0.0
 01/01  09:00:00,21.86,0.0,0.0,4.17,0.0
 01/01  10:00:00,22.0,0.0,0.0,3.14,0.0
 01/01  11:00:00,22.0,0.0,0.0,2.58,0.0
 01/01  12:00:00,22.0,0.0,0.0,2.21,0.0
 01/01  13:00:00,22.0,0.0,0.0,1.97,0.0
 01/01  14:00:00,22.0,0.0,0.0,1.81,0.0
 01/01  15:00:00,22.0,0.0,0.0,1.72,0.0
 01/01  16:00:00,22.0,0.0,0.0,1.67,0.0
 01/01  17:00:00,22.0,0.0,0.0,1.67,0.0
 01/01  18:00:00,22.0,0.0,0.0,1.69,0.0
 01/01  19:00:00,16.68,0.0,0.0,0.0,0.0
 01/01  20:00:00,15.03,0.0,0.0,0.18,0.0
 01/01  21:00:00,15.0,0.0,0.0,0.52,0.0
 01/01  22:00:00,15.0,0.0,0.0,0.71,0.0
 01/01  23:00:00,15.0,0.0,0.0,0.86,0.0
 01/01  24:00:00,15.0,0.0,0.0,1.0,0.0
 01/02  01:00:00,15.0,0.0,0.0,1.11,0.0
 01/02  02:00:00,15.0,0.0,0.0,1.2,0.0
 01/02  03:00:00,15.0,0.0,0.0,1.26,0.0
 01/02  04:00:00,15.0,0.0,0.0,1.32,0.0
 01/02  05:00:00,15.0,0.0,0.0,1.37,0.0
 01/02  06:00:00,15.0,0.0,0.0,1.44,0.0
 01/02  07:00:00,15.0,0.04,0.01,1.45,0.0
 01/02  08:00:00,15.0,0.08,0.03,1.4,0.0
 01/02  09:00:00,21.87,0.38,0.13,3.75,0.0
 01/02  10:00:00,22.0,0.38,0.13,2.67,0.0
 01/02  11:00:00,22.0,0.38,0.13,2.01,0.0
 01/02  12:00:00,22.0,0.38,0.13,1.54,0.0
 01/02  13:00:00,22.0,0.2,0.07,1.35,0.0
 01/02  14:00:00,22.0,0.38,0.13,0.98,0.0
 01/02  15:00:00,22.0,0.38,0.13,0.82,0.0
 01/02  16:00:00,22.0,0.38,0.13,0.73,0.0
 01/02  17:00:00,22.0,0.38,0.13,0.79,0.0
 01/02  18:00:00,22.0,0.12,0.04,1.14,0.0
 01/02  19:00:00,17.59,0.04,0.01,0.0,0.0
 01/02  20:00:00,15.61,0.04,0.01,0.0,0.0
 01/02  21:00:00,15.0,0.02,0.01,0.31,0.0
 01/02  22:00:00,15.0,0.02,0.01,0.58,0.0
 01/02  23:00:00,15.0,0.02,0.01,0.73,0.0
 01/02  24:00:00,15.0,0.02,0.01,0.84,0.0
 01/03  01:00:00,15.0,0.0,0.0,0.96,0.0
 01/03  02:00:00,15.0,0.0,0.0,1.04,0.0
 01/03  03:00:00,15.0,0.0,0.0,1.09,0.0
 01/03  04:00:00,15.0,0.0,0.0,1.12,0.0
 01/03  05:00:00,15.0,0.0,0.0,1.12,0.0
 01/03  06:00:00,15.0,0.0,0.0,1.12,0.0
 01/03  07:00:00,15.0,0.04,0.01,1.04,0.0
 01/03  08:00:00,15.0,0.08,0.03,0.93,0.0
 01/03  09:00:00,21.89,0.38,0.13,3.07,0.0
 01/03  10:00:00,22.0,0.38,0.13,1.98,0.0
 01/03  11:00:00,22.0,0.38,0.13,1.38,0.0
 01/03  12:00:00,22.0,0.38,0.13,1.01,0.0
 01/03  13:00:00,22.0,0.2,0.07,1.01,0.0
 01/03  14:00:00,22.0,0.38,0.13,0.72,0.0
 01/03  15:00:00,22.0,0.38,0.13,0.64,0.0
 01/03  16:00:00,22.0,0.38,0.13,0.67,0.0
 01/03  17:00:00,22.0,0.38,0.13,0.68,0.0
 01/03  18:00:00,22.0,0.12,0.04,0.95,0.0
 01/03  19:00:00,18.29,0.04,0.01,0.0,0.0
 01/03  20:00:00,16.68,0.04,0.01,0.0,0.0
 01/03  21:00:00,15.52,0.02,0.01,0.0,0.0
 01/03  22:00:00,15.0,0.02,0.01,0.16,0.0
 01/03  23:00:00,15.0,0.02,0.01,0.36,0.0
 01/03  24:00:00,15.0,0.02,0.01,0.48,0.0
 01/04  01:00:00,15.0,0.0,0.0,0.64,0.0
 01/04  02:00:00,15.0,0.0,0.0,0.76,0.0
 01/04  03:00:00,15.0,0.0,0.0,0.84,0.0
 01/04  04:00:00,15.0,0.0,0.0,0.93,0.0
 01/04  05:00:00,15.0,0.0,0.0,1.0,0.0
 01/04  06:00:00,15.0,0.0,0.0,1.06,0.0
 01/04  07:00:00,15.0,0.04,0.01,1.05,0.0
 01/04  08:00:00,15.0,0.08,0.03,0.99,0.0
 01/04  09:00:00,21.89,0.38,0.13,3.22,0.0
 01/04  10:00:00,22.0,0.38,0.13,2.2,0.0
 01/04  11:00:00,22.0,0.38,0.13,1.66,0.0
 01/04  12:00:00,22.0,0.38,0.13,1.33,0.0
 01/04  13:00:00,22.0,0.2,0.07,1.3,0.0
 01/04  14:00:00,22.0,0.38,0.13,1.03,0.0
 01/04  15:00:00,22.0,0.38,0.13,0.95,0.0
 01/04  16:00:00,22.0,0.38,0.13,0.94,0.0
 01/04  17:00:00,22.0,0.38,0.13,0.95,0.0
 01/04  18:00:00,22.0,0.12,0.04,1.23,0.0
 01/04  19:00:00,17.49,0.04,0.01,0.0,0.0
 01/04  20:00:00,15.62,0.04,0.01,0.0,0.0
 01/04  21:00:00,15.0,0.02,0.01,0.24,0.0
 01/04  22:00:00,15.0,0.02,0.01,0.47,0.0
 01/04  23:00:00,15.0,0.02,0.01,0.61,0.0
 01/04  24:00:00,15.0,0.02,0.01,0.73,0.0
 01/05  01:00:00,15.0,0.0,0.0,0.87,0.0
 01/05  02:00:00,15.0,0.0,0.0,0.96,0.0
 01/05  03:00:00,15.0,0.0,0.0,1.03,0.0
 01/05  04:00:00,15.0,0.0,0.0,1.08,0.0
 01/05  05:00:00,15.0,0.0,0.0,1.14,0.0
 01/05  06:00:00,15.0,0.0,0.0,1.21,0.0
 01/05  07:00:00,15.0,0.04,0.01,1.22,0.0
 01/05  08:00:00,15.0,0.08,0.03,1.18,0.0
 01/05  09:00:00,21.88,0.38,0.13,3.49,0.0
 01/05  10:00:00,22.0,0.38,0.13,2.44,0.0
 01/05  11:00:00,22.0,0.38,0.13,1.87,0.0
 01/05  12:00:00,22.0,0.38,0.13,1.49,0.0
 01/05  13:00:00,22.0,0.2,0.07,1.38,0.0
 01/05  14:00:00,22.0,0.38,0.13,1.05,0.0
 01/05  15:00:00,22.0,0.38,0.13,0.91,0.0
 01/05  16:00:00,22.0,0.38,0.13,0.83,0.0
 01/05  17:00:00,22.0,0.38,0.13,0.88,0.0
 01/05  18:00:00,22.0,0.12,0.04,1.22,0.0
 01/05  19:00:00,17.33,0.04,0.01,0.0,0.0
 01/05  20:00:00,15.29,0.04,0.01,0.06,0.0
 01/05  21:00:00,15.0,0.02,0.01,0.5,0.0
 01/05  22:00:00,15.0,0.02,0.01,0.79,0.0
 01/05  23:00:00,15.0,0.02,0.01,0.98,0.0
 01/05  24:00:00,15.0,0.02,0.01,1.12,0.0
 01/06  01:00:00,15.0,0.0,0.0,1.26,0.0
 01/06  02:00:00,15.0,0.0,0.0,1.33,0.0
 01/06  03:00:00,15.0,0.0,0.0,1.38,0.0
 01/06  04:00:00,15.0,0.0,0.0,1.4,0.0
 01/06  05:00:00,15.0,0.0,0.0,1.41,0.0
 01/06  06:00:00,15.0,0.0,0.0,1.41,0.0
 01/06  07:00:00,15.0,0.04,0.01,1.35,0.0
 01/06  08:00:00,15.0,0.08,0.03,1.26,0.0
 01/06  09:00:00,21.88,0.38,0.13,3.57,0.0
 01/06  10:00:00,22.0,0.38,0.13,2.51,0.0
 01/06  11:00:00,22.0,0.38,0.13,1.93,0.0
 01/06  12:00:00,22.0,0.38,0.13,1.55,0.0
 01/06  13:00:00,22.0,0.2,0.07,1.44,0.0
 01/06  14:00:00,22.0,0.38,0.13,1.13,0.0
 01/06  15:00:00,22.0,0.38,0.13,0.99,0.0
 01/06  16:00:00,22.0,0.38,0.13,0.93,0.0
 01/06  17:00:00,22.0,0.38,0.13,0.94,0.0
 01/06  18:00:00,22.0,0.12,0.04,1.25,0.0
 01/06  19:00:00,17.34,0.04,0.01,0.0,0.0
 01/06  20:00:00,15.34,0.04,0.01,0.04,0.0
 01/06  21:00:00,15.0,0.02,0.01,0.44,0.0
 01/06  22:00:00,15.0,0.02,0.01,0.71,0.0
 01/06  23:00:00,15.0,0.02,0.01,0.87,0.0
 01/06  24:00:00,15.0,0.02,0.01,0.99,0.0
 01/07  01:00:00,15.0,0.0,0.0,1.09,0.0
 01/07  02:00:00,15.0,0.0,0.0,1.16,0.0
 01/07  03:00:00,15.0,0.0,0.0,1.21,0.0
 01/07  04:00:00,15.0,0.0,0.0,1.24,0.0
 01/07  05:00:00,15.0,0.0,0.0,1.27,0.0
 01/07  06:00:00,15.0,0.0,0.0,1.32,0.0
 01/07  07:00:00,15.0,0.04,0.01,1.31,0.0
 01/07  08:00:00,15.0,0.04,0.01,1.3,0.0
 01/07  09:00:00,21.87,0.12,0.04,3.83,0.0
 01/07  10:00:00,22.0,0.12,0.04,2.83,0.0
 01/07  11:00:00,22.0,0.12,0.04,2.3,0.0
 01/07  12:00:00,22.0,0.12,0.04,1.97,0.0
 01/07  13:00:00,22.0,0.04,0.01,1.87,0.0
 01/07  14:00:00,22.0,0.04,0.01,1.75,0.0
 01/07  15:00:00,22.0,0.04,0.01,1.65,0.0
 01/07  16:00:00,22.0,0.04,0.01,1.64,0.0
 01/07  17:00:00,22.0,0.04,0.01,1.62,0.0
 01/07  18:00:00,22.0,0.0,0.0,1.63,0.0
 01/07  19:00:00,16.83,0.0,0.0,0.0,0.0
 01/07  20:00:00,15.08,0.0,0.0,0.09,0.0
 01/07  21:00:00,15.0,0.0,0.0,0.36,0.0
 01/07  22:00:00,15.0,0.0,0.0,0.5,0.0
 01/07  23:00:00,15.0,0.0,0.0,0.61,0.0
 01/07  24:00:00,15.0,0.0,0.0,0.71,0.0
 01/08  01:00:00,15.0,0.0,0.0,0.8,0.0
 01/08  02:00:00,15.0,0.0,0.0,0.87,0.0
 01/08  03:00:00,15.0,0.0,0.0,0.91,0.0
 01/08  04:00:00,15.0,0.0,0.0,0.95,0.0
 01/08  05:00:00,15.0,0.0,0.0,1.0,0.0
 01/08  06:00:00,15.0,0.0,0.0,1.05,0.0
 01/08  07:00:00,15.0,0.0,0.0,1.09,0.0
 01/08  08:00:00,15.0,0.0,0.0,1.11,0.0
 01/08  09:00:00,21.87,0.0,0.0,3.7,0.0
 01/08  10:00:00,22.0,0.0,0.0,2.75,0.0
 01/08  11:00:00,22.0,0.0,0.0,2.25,0.0
 01/08  12:00:00,22.0,0.0,0.0,1.97,0.0
 01/08  13:00:00,22.0,0.0,0.0,1.83,0.0
 01/08  14:00:00,22.0,0.0,0.0,1.69,0.0
 01/08  15:00:00,22.0,0.0,0.0,1.58,0.0
 01/08  16:00:00,22.0,0.0,0.0,1.53,0.0
 01/08  17:00:00,22.0,0.0,0.0,1.54,0.0
 01/08  18:00:00,22.0,0.0,0.0,1.57,0.0
 01/08  19:00:00,16.94,0.0,0.0,0.0,0.0
 01/08  20:00:00,15.13,0.0,0.0,0.09,0.0
 01/08  21:00:00,15.0,0.0,0.0,0.44,0.0
 01/08  22:00:00,15.0,0.0,0.0,0.64,0.0
 01/08  23:00:00,15.0,0.0,0.0,0.79,0.0
 01/08  24:00:00,15.0,0.0,0.0,0.93,0.0
 01/09  01:00:00,15.0,0.0,0.0,1.04,0.0
 01/09  02:00:00,15.0,0.0,0.0,1.15,0.0
 01/09  03:00:00,15.0,0.0,0.0,1.24,0.0
 01/09  04:00:00,15.0,0.0,0.0,1.32,0.0
 01/09  05:00:00,15.0,0.0,0.0,1.38,0.0
 01/09  06:00:00,15.0,0.0,0.0,1.42,0.0
 01/09  07:00:00,15.0,0.04,0.01,1.39,0.0
 01/09  08:00:00,15.0,0.08,0.03,1.35,0.0
 01/09  09:00:00,21.87,0.38,0.13,3.74,0.0
 01/09  10:00:00,22.0,0.38,0.13,2.71,0.0
 01/09  11:00:00,22.0,0.38,0.13,2.12,0.0
 01/09  12:00:00,22.0,0.38,0.13,1.7,0.0
 01/09  13:00:00,22.0,0.2,0.07,1.56,0.0
 01/09  14:00:00,22.0,0.38,0.13,1.23,0.0
 01/09  15:00:00,22.0,0.38,0.13,1.08,0.0
 01/09  16:00:00,22.0,0.38,0.13,0.99,0.0
 01/09  17:00:00,22.0,0.38,0.13,0.98,0.0
 01/09  18:00:00,22.0,0.12,0.04,1.26,0.0
 01/09  19:00:00,17.39,0.04,0.01,0.0,0.0
 01/09  20:00:00,15.43,0.04,0.01,0.02,0.0
 01/09  21:00:00,15.0,0.02,0.01,0.37,0.0
 01/09  22:00:00,15.0,0.02,0.01,0.64,0.0
 01/09  23:00:00,15.0,0.02,0.01,0.84,0.0
 01/09  24:00:00,15.0,0.02,0.01,1.03,0.0
 01/10  01:00:00,15.0,0.0,0.0,1.22,0.0
 01/10  02:00:00,15.0,0.0,0.0,1.32,0.0
 01/10  03:00:00,15.0,0.0,0.0,1.36,0.0
 01/10  04:00:00,15.0,0.0,0.0,1.38,0.0
 01/10  05:00:00,15.0,0.0,0.0,1.4,0.0
 01/10  06:00:00,15.0,0.0,0.0,1.41,0.0
 01/10  07:00:00,15.0,0.04,0.01,1.37,0.0
 01/10  08:00:00,15.0,0.08,0.03,1.29,0.0
 01/10  09:00:00,21.88,0.38,0.13,3.58,0.0
 01/10  10:00:00,22.0,0.38,0.13,2.46,0.0
 01/10  11:00:00,22.0,0.38,0.13,1.87,0.0
 01/10  12:00:00,22.0,0.38,0.13,1.5,0.0
 01/10  13:00:00,22.0,0.2,0.07,1.43,0.0
 01/10  14:00:00,22.0,0.38,0.13,1.11,0.0
 01/10  15:00:00,22.0,0.38,0.13,0.97,0.0
 01/10  16:00:00,22.0,0.38,0.13,0.89,0.0
 01/10  17:00:00,22.0,0.38,0.13,0.92,0.0
 01/10  18:00:00,22.0,0.12,0.04,1.27,0.0
 01/10  19:00:00,17.17,0.04,0.01,0.0,0.0
 01/10  20:00:00,15.2,0.04,0.01,0.09,0.0
 01/10  21:00:00,15.0,0.02,0.01,0.52,0.0
 01/10  22:00:00,15.0,0.02,0.01,0.77,0.0
 01/10  23:00:00,15.0,0.02,0.01,0.97,0.0
 01/10  24:00:00,15.0,0.02,0.01,1.15,0.0
 01/11  01:00:00,15.0,0.0,0.0,1.33,0.0
 01/11  02:00:00,15.0,0.0,0.0,1.45,0.0
 01/11  03:00:00,15.0,0.0,0.0,1.5,0.0
 01/11  04:00:00,15.0,0.0,0.0,1.51,0.0
 01/11  05:00:00,15.0,0.0,0.0,1.54,0.0
 01/11  06:00:00,15.0,0.0,0.0,1.59,0.0
 01/11  07:00:00,15.0,0.04,0.01,1.58,0.0
 01/11  08:00:00,15.0,0.08,0.03,1.53,0.0
 01/11  09:00:00,21.87,0.38,0.13,3.92,0.0
 01/11  10:00:00,22.0,0.38,0.13,2.84,0.0
 01/11  11:00:00,22.0,0.38,0.13,2.23,0.0
 01/11  12:00:00,22.0,0.38,0.13,1.83,0.0
 01/11  13:00:00,22.0,0.2,0.07,1.7,0.0
 01/11  14:00:00,22.0,0.38,0.13,1.39,0.0
 01/11  15:00:00,22.0,0.38,0.13,1.23,0.0
 01/11  16:00:00,22.0,0.38,0.13,1.12,0.0
 01/11  17:00:00,22.0,0.38,0.13,1.13,0.0
 01/11  18:00:00,22.0,0.12,0.04,1.45,0.0
 01/11  19:00:00,16.74,0.04,0.01,0.0,0.0
 01/11  20:00:00,15.02,0.04,0.01,0.24,0.0
 01/11  21:00:00,15.0,0.02,0.01,0.67,0.0
 01/11  22:00:00,15.0,0.02,0.01,0.9,0.0
 01/11  23:00:00,15.0,0.02,0.01,1.08,0.0
 01/11  24:00:00,15.0,0.02,0.01,1.23,0.0
 01/12  01:00:00,15.0,0.0,0.0,1.36,0.0
 01/12  02:00:00,15.0,0.0,0.0,1.42,0.0
 01/12  03:00:00,15.0,0.0,0.0,1.43,0.0
 01/12  04:00:00,15.0,0.0,0.0,1.42,0.0
 01/12  05:00:00,15.0,0.0,0.0,1.41,0.0
 01/12  06:00:00,15.0,0.0,0.0,1.4,0.0
 01/12  07:00:00,15.0,0.04,0.01,1.37,0.0
 01/12  08:00:00,15.0,0.08,0.03,1.28,0.0
 01/12  09:00:00,21.88,0.38,0.13,3.55,0.0
 01/12  10:00:00,22.0,0.38,0.13,2.49,0.0
 01/12  11:00:00,22.0,0.38,0.13,1.92,0.0
 01/12  12:00:00,22.0,0.38,0.13,1.57,0.0
 01/12  13:00:00,22.0,0.2,0.07,1.55,0.0
 01/12  14:00:00,22.0,0.38,0.13,1.24,0.0
 01/12  15:00:00,22.0,0.38,0.13,1.08,0.0
 01/12  16:00:00,22.0,0.38,0.13,0.99,0.0
 01/12  17:00:00,22.0,0.38,0.13,0.98,0.0
 01/12  18:00:00,22.0,0.12,0.04,1.27,0.0
 01/12  19:00:00,17.35,0.04,0.01,0.0,0.0
 01/12  20:00:00,15.42,0.04,0.01,0.02,0.0
 01/12  21:00:00,15.0,0.02,0.01,0.33,0.0
 01/12  22:00:00,15.0,0.02,0.01,0.56,0.0
 01/12  23:00:00,15.0,0.02,0.01,0.71,0.0
 01/12  24:00:00,15.0,0.02,0.01,0.84,0.0
 01/13  01:00:00,15.0,0.0,0.0,0.98,0.0
 01/13  02:00:00,15.0,0.0,0.0,1.12,0.0
 01/13  03:00:00,15.0,0.0,0.0,1.27,0.0
 01/13  04:00:00,15.0,0.0,0.0,1.41,0.0
 01/13  05:00:00,15.0,0.0,0.0,1.49,0.0
 01/13  06:00:00,15.0,0.0,0.0,1.54,0.0
 01/13  07:00:00,15.0,0.04,0.01,1.52,0.0
 01/13  08:00:00,15.0,0.08,0.03,1.45,0.0
 01/13  09:00:00,21.87,0.38,0.13,3.78,0.0
 01/13  10:00:00,22.0,0.38,0.13,2.67,0.0
 01/13  11:00:00,22.0,0.38,0.13,2.08,0.0
 01/13  12:00:00,22.0,0.38,0.13,1.72,0.0
 01/13  13:00:00,22.0,0.2,0.07,1.64,0.0
 01/13  14:00:00,22.0,0.38,0.13,1.36,0.0
 01/13  15:00:00,22.0,0.38,0.13,1.25,0.0
 01/13  16:00:00,22.0,0.38,0.13,1.2,0.0
 01/13  17:00:00,22.0,0.38,0.13,1.17,0.0
 01/13  18:00:00,22.0,0.12,0.04,1.39,0.0
 01/13  19:00:00,17.22,0.04,0.01,0.0,0.0
 01/13  20:00:00,15.36,0.04,0.01,0.02,0.0
 01/13  21:00:00,15.0,0.02,0.01,0.32,0.0
 01/13  22:00:00,15.0,0.02,0.01,0.53,0.0
 01/13  23:00:00,15.0,0.02,0.01,0.65,0.0
 01/13  24:00:00,15.0,0.02,0.01,0.72,0.0
 01/14  01:00:00,15.0,0.0,0.0,0.81,0.0
 01/14  02:00:00,15.0,0.0,0.0,0.85,0.0
 01/14  03:00:00,15.0,0.0,0.0,0.87,0.0
 01/14  04:00:00,15.0,0.0,0.0,0.88,0.0
 01/14  05:00:00,15.0,0.0,0.0,0.88,0.0
 01/14  06:00:00,15.0,0.0,0.0,0.87,0.0
 01/14  07:00:00,15.0,0.04,0.01,0.8,0.0
 01/14  08:00:00,15.0,0.04,0.01,0.76,0.0
 01/14  09:00:00,21.89,0.12,0.04,3.14,0.0
 01/14  10:00:00,22.0,0.12,0.04,2.17,0.0
 01/14  11:00:00,22.0,0.12,0.04,1.64,0.0
 01/14  12:00:00,22.0,0.12,0.04,1.31,0.0
 01/14  13:00:00,22.0,0.04,0.01,1.17,0.0
 01/14  14:00:00,22.0,0.04,0.01,1.03,0.0
 01/14  15:00:00,22.0,0.04,0.01,0.93,0.0
 01/14  16:00:00,22.0,0.04,0.01,0.87,0.0
 01/14  17:00:00,22.0,0.04,0.01,0.89,0.0
 01/14  18:00:00,22.0,0.0,0.0,1.01,0.0
 01/14  19:00:00,18.26,0.0,0.0,0.0,0.0
 01/14  20:00:00,16.7,0.0,0.0,0.0,0.0
 01/14  21:00:00,15.84,0.0,0.0,0.0,0.0
 01/14  22:00:00,15.12,0.0,0.0,0.02,0.0
 01/14  23:00:00,15.0,0.0,0.0,0.22,0.0
 01/14  24:00:00,15.0,0.0,0.0,0.38,0.0
 01/15  01:00:00,15.0,0.0,0.0,0.52,0.0
 01/15  02:00:00,15.0,0.0,0.0,0.62,0.0
 01/15  03:00:00,15.0,0.0,0.0,0.68,0.0
 01/15  04:00:00,15.0,0.0,0.0,0.73,0.0
 01/15  05:00:00,15.0,0.0,0.0,0.77,0.0
 01/15  06:00:00,15.0,0.0,0.0,0.81,0.0
 01/15  07:00:00,15.0,0.0,0.0,0.84,0.0
 01/15  08:00:00,15.0,0.0,0.0,0.87,0.0
 01/15  09:00:00,21.88,0.0,0.0,3.44,0.0
 01/15  10:00:00,22.0,0.0,0.0,2.56,0.0
 01/15  11:00:00,22.0,0.0,0.0,2.08,0.0
 01/15  12:00:00,22.0,0.0,0.0,1.79,0.0
 01/15  13:00:00,22.0,0.0,0.0,1.6,0.0
 01/15  14:00:00,22.0,0.0,0.0,1.5,0.0
 01/15  15:00:00,22.0,0.0,0.0,1.47,0.0
 01/15  16:00:00,22.0,0.0,0.0,1.51,0.0
 01/15  17:00:00,22.0,0.0,0.0,1.56,0.0
 01/15  18:00:00,22.0,0.0,0.0,1.58,0.0
 01/15  19:00:00,16.88,0.0,0.0,0.0,0.0
 01/15  20:00:00,15.11,0.0,0.0,0.09,0.0
 01/15  21:00:00,15.0,0.0,0.0,0.38,0.0
 01/15  22:00:00,15.0,0.0,0.0,0.53,0.0
 01/15  23:00:00,15.0,0.0,0.0,0.64,0.0
 01/15  24:00:00,15.0,0.0,0.0,0.76,0.0
 01/16  01:00:00,15.0,0.0,0.0,0.85,0.0
 01/16  02:00:00,15.0,0.0,0.0,0.91,0.0
 01/16  03:00:00,15.0,0.0,0.0,0.94,0.0
 01/16  04:00:00,15.0,0.0,0.0,0.97,0.0
 01/16  05:00:00,15.0,0.0,0.0,0.98,0.0
 01/16  06:00:00,15.0,0.0,0.0,0.98,0.0
 01/16  07:00:00,15.0,0.04,0.01,0.92,0.0
 01/16  08:00:00,15.0,0.08,0.03,0.84,0.0
 01/16  09:00:00,21.89,0.38,0.13,3.04,0.0
 01/16  10:00:00,22.0,0.38,0.13,2.1,0.0
 01/16  11:00:00,22.0,0.38,0.13,1.56,0.0
 01/16  12:00:00,22.0,0.38,0.13,1.18,0.0
 01/16  13:00:00,22.0,0.2,0.07,1.12,0.0
 01/16  14:00:00,22.0,0.38,0.13,0.8,0.0
 01/16  15:00:00,22.0,0.38,0.13,0.66,0.0
 01/16  16:00:00,22.0,0.38,0.13,0.59,0.0
 01/16  17:00:00,22.0,0.38,0.13,0.58,0.0
 01/16  18:00:00,22.0,0.12,0.04,0.89,0.0
 01/16  19:00:00,18.4,0.04,0.01,0.0,0.0
 01/16  20:00:00,16.84,0.04,0.01,0.0,0.0
 01/16  21:00:00,15.78,0.02,0.01,0.0,0.0
 01/16  22:00:00,15.05,0.02,0.01,0.06,0.0
 01/16  23:00:00,15.0,0.02,0.01,0.24,0.0
 01/16  24:00:00,15.0,0.02,0.01,0.34,0.0
 01/17  01:00:00,15.0,0.0,0.0,0.43,0.0
 01/17  02:00:00,15.0,0.0,0.0,0.5,0.0
 01/17  03:00:00,15.0,0.0,0.0,0.55,0.0
 01/17  04:00:00,15.0,0.0,0.0,0.58,0.0
 01/17  05:00:00,15.0,0.0,0.0,0.64,0.0
 01/17  06:00:00,15.0,0.0,0.0,0.7,0.0
 01/17  07:00:00,15.0,0.04,0.01,0.72,0.0
 01/17  08:00:00,15.0,0.08,0.03,0.66,0.0
 01/17  09:00:00,21.9,0.38,0.13,2.74,0.0
 01/17  10:00:00,22.0,0.38,0.13,1.8,0.0
 01/17  11:00:00,22.0,0.38,0.13,1.3,0.0
 01/17  12:00:00,22.0,0.38,0.13,1.0,0.0
