Date/Time,ZONE1:Zone Mean Air Temperature [C](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,15.0000000000709,854726.608887719,0.0,72482.76,197568. 
 01/01  02:00:00,15.0000000000051,1249068.79688161,0.0,72482.76,197568. 
 01/01  03:00:00,15.0000000000005,1399998.00158039,0.0,72482.76,197568. 
 01/01  04:00:00,15.0000000000001,1595133.06478725,0.0,72482.76,197568. 
 01/01  05:00:00,15.0000000000001,1783886.52457196,0.0,72482.76,197568. 
 01/01  06:00:00,21.8926506356796,7163584.05770629,0.0,144965.52,197568. 
 01/01  07:00:00,21.9999999999935,7583032.89370435,0.0,144965.52,197568. 
 01/01  08:00:00,21.9999999999987,5480794.09408823,0.0,434896.56,197568. 
 01/01  09:00:00,21.9999999999999,5616865.43959426,0.0,1182191.51486534,444528. 
 01/01  10:00:00,22.0000000000002,4646998.97775384,0.0,130468.968,444528. 
 01/01  11:00:00,22.0000000000002,2037854.989774,0.0,130468.968,444528. 
 01/01  12:00:00,22.,263860.74201159,0.0,130468.968,444528. 
 01/01  13:00:00,22.,856349.207427303,0.0,130468.968,395136. 
 01/01  14:00:00,22.,2555011.60917859,0.0,130468.968,444528. 
 01/01  15:00:00,22.,2745796.62238683,0.0,464206.98297798,444528. 
 01/01  16:00:00,22.,2717070.55254116,0.0,900706.294472955,444528. 
 01/01  17:00:00,22.,2752675.7265725,0.0,1304689.68,444528. 
 01/01  18:00:00,22.,2578988.67770412,0.0,1014758.64,395136. 
 01/01  19:00:00,22.,2283658.74220021,0.0,724827.6,296352. 
 01/01  20:00:00,18.0816714535089,0.0,0.0,724827.6,296352. 
 01/01  21:00:00,17.9771115578999,0.0,0.0,434896.56,246960. 
 01/01  22:00:00,16.8976903459703,0.0,0.0,434896.56,246960. 
 01/01  23:00:00,15.9821141864043,0.0,0.0,144965.52,197568. 
 01/01  24:00:00,15.0497643767109,4863.62425520681,0.0,72482.76,197568. 
 01/02  01:00:00,15.0000000000554,659534.749244275,0.0,72482.76,197568. 
 01/02  02:00:00,15.0000000000036,1132168.98082052,0.0,72482.76,197568. 
 01/02  03:00:00,15.0000000000003,1350978.06541647,0.0,72482.76,197568. 
 01/02  04:00:00,15.0000000000002,1525755.18206302,0.0,72482.76,197568. 
 01/02  05:00:00,15.0000000000001,1779103.09191598,0.0,72482.76,197568. 
 01/02  06:00:00,21.8923532937812,7155139.5495931,0.0,144965.52,197568. 
 01/02  07:00:00,21.9999999999936,7729248.92920752,0.0,144965.52,197568. 
 01/02  08:00:00,21.9999999999987,5607561.65436728,0.0,434896.56,197568. 
 01/02  09:00:00,21.9999999999997,5781903.7967439,0.0,1207200.69568436,444528. 
 01/02  10:00:00,21.9999999999999,4946048.72305591,0.0,130468.968,444528. 
 01/02  11:00:00,22.,3211188.67674037,0.0,130468.968,444528. 
 01/02  12:00:00,22.,838153.141465951,0.0,130468.968,444528. 
 01/02  13:00:00,24.4849932754668,0.0,0.0,130468.968,395136. 
 01/02  14:00:00,25.5951821699634,0.0,0.0,130468.968,444528. 
 01/02  15:00:00,25.9952191540522,0.0,380125.0347548,130468.968,444528. 
 01/02  16:00:00,25.8709121963083,0.0,0.0,130468.968,444528. 
 01/02  17:00:00,24.3035631656823,0.0,0.0,1304689.68,444528. 
 01/02  18:00:00,23.219495371756,0.0,0.0,1014758.64,395136. 
 01/02  19:00:00,22.2608990063281,0.0,0.0,724827.6,296352. 
 01/02  20:00:00,21.0846774989222,0.0,0.0,724827.6,296352. 
 01/02  21:00:00,20.3593998082721,0.0,0.0,434896.56,246960. 
 01/02  22:00:00,19.2865621976845,0.0,0.0,434896.56,246960. 
 01/02  23:00:00,18.3166299412321,0.0,0.0,144965.52,197568. 
 01/02  24:00:00,17.3767103902913,0.0,0.0,72482.76,197568. 
 01/03  01:00:00,16.6146589914627,0.0,0.0,72482.76,197568. 
 01/03  02:00:00,15.8083372059272,0.0,0.0,72482.76,197568. 
 01/03  03:00:00,15.0722136799101,0.0,0.0,72482.76,197568. 
 01/03  04:00:00,15.0009540983759,498455.484027081,0.0,72482.76,197568. 
 01/03  05:00:00,15.0000461061718,813636.919774918,0.0,72482.76,197568. 
 01/03  06:00:00,21.9054389567122,4683011.49528868,0.0,144965.52,197568. 
 01/03  07:00:00,22.,6264989.98963281,0.0,144965.52,197568. 
 01/03  08:00:00,22.,4252834.71798565,0.0,434896.56,197568. 
 01/03  09:00:00,22.0000000000001,3633838.25947021,0.0,1219301.51988115,444528. 
 01/03  10:00:00,22.0000000000002,2879829.46587171,0.0,761967.634122232,444528. 
 01/03  11:00:00,22.,2540592.99555826,0.0,130468.968,444528. 
