Date/Time,ZONE1:Zone Mean Air Temperature [C](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,15.0000000020318,950480.96914981,0.0,72482.76,197568. 
 01/01  02:00:00,15.0000000001539,1299829.90669924,0.0,72482.76,197568. 
 01/01  03:00:00,15.0000000000186,1394269.73033031,0.0,72482.76,197568. 
 01/01  04:00:00,15.0000000000018,1651343.65509553,0.0,72482.76,197568. 
 01/01  05:00:00,15.0000000000005,1823812.91444162,0.0,72482.76,197568. 
 01/01  06:00:00,21.8922133982502,7250207.93062989,0.0,144965.52,197568. 
 01/01  07:00:00,21.9999999999929,7613999.24542935,0.0,144965.52,197568. 
 01/01  08:00:00,21.9999999999987,5501290.06423156,0.0,434896.56,197568. 
 01/01  09:00:00,22.,5628887.91542411,0.0,1182127.28747526,444528. 
 01/01  10:00:00,21.9999999999999,4522938.33274499,0.0,130468.968,444528. 
 01/01  11:00:00,22.0000000000001,1824485.08480343,0.0,130468.968,444528. 
 01/01  12:00:00,22.6532916225243,0.0,0.0,130468.968,444528. 
 01/01  13:00:00,22.0013598608454,169015.455756082,0.0,130468.968,395136. 
 01/01  14:00:00,22.0000000247804,2098989.52814256,0.0,130468.968,444528. 
 01/01  15:00:00,22.0000000031641,2484828.55283034,0.0,463897.239634498,444528. 
 01/01  16:00:00,22.0000000004461,2557803.97411381,0.0,900539.359663685,444528. 
 01/01  17:00:00,22.0000000000688,2658233.9696872,0.0,1304689.68,444528. 
 01/01  18:00:00,22.0000000000114,2526028.06928063,0.0,1014758.64,395136. 
 01/01  19:00:00,22.000000000002,2260034.61012391,0.0,724827.6,296352. 
 01/01  20:00:00,17.7723764483193,0.0,0.0,724827.6,296352. 
 01/01  21:00:00,17.7742463184529,0.0,0.0,434896.56,246960. 
 01/01  22:00:00,16.7094148609259,0.0,0.0,434896.56,246960. 
 01/01  23:00:00,15.8167629974066,0.0,0.0,144965.52,197568. 
 01/01  24:00:00,15.0005921265255,116136.793175316,0.0,72482.76,197568. 
 01/02  01:00:00,15.0000000016301,752048.381696527,0.0,72482.76,197568. 
 01/02  02:00:00,15.0000000001109,1180238.89026782,0.0,72482.76,197568. 
 01/02  03:00:00,15.0000000000115,1363659.08333573,0.0,72482.76,197568. 
 01/02  04:00:00,15.0000000000013,1566407.47404285,0.0,72482.76,197568. 
 01/02  05:00:00,15.,1808629.69051954,0.0,72482.76,197568. 
 01/02  06:00:00,21.8920120253404,7222728.76648022,0.0,144965.52,197568. 
 01/02  07:00:00,21.9999999999931,7755026.52334415,0.0,144965.52,197568. 
 01/02  08:00:00,21.9999999999988,5624897.93774498,0.0,434896.56,197568. 
 01/02  09:00:00,22.,5792254.45965042,0.0,1207147.3535587,444528. 
 01/02  10:00:00,22.,4851713.88430031,0.0,130468.968,444528. 
 01/02  11:00:00,22.,3003202.46830088,0.0,130468.968,444528. 
 01/02  12:00:00,22.,61327.2407323346,0.0,130468.968,444528. 
 01/02  13:00:00,25.3170500819218,0.0,0.0,130468.968,395136. 
 01/02  14:00:00,25.9759239017374,0.0,984430.514018879,130468.968,444528. 
 01/02  15:00:00,25.9996681554923,0.0,2307192.44924625,130468.968,444528. 
 01/02  16:00:00,25.9999730709538,0.0,1523219.46950954,130468.968,444528. 
 01/02  17:00:00,25.0353821233784,0.0,0.0,1304689.68,444528. 
 01/02  18:00:00,23.8094551848729,0.0,0.0,1014758.64,395136. 
 01/02  19:00:00,22.8348967804054,0.0,0.0,724827.6,296352. 
 01/02  20:00:00,21.5977689335198,0.0,0.0,724827.6,296352. 
 01/02  21:00:00,20.8545350171003,0.0,0.0,434896.56,246960. 
 01/02  22:00:00,19.7425743702366,0.0,0.0,434896.56,246960. 
 01/02  23:00:00,18.7449320024744,0.0,0.0,144965.52,197568. 
 01/02  24:00:00,17.7737966605475,0.0,0.0,72482.76,197568. 
 01/03  01:00:00,16.9860951806339,0.0,0.0,72482.76,197568. 
 01/03  02:00:00,16.1529060924347,0.0,0.0,72482.76,197568. 
 01/03  03:00:00,15.3919171434532,0.0,0.0,72482.76,197568. 
 01/03  04:00:00,15.0023449307801,270718.335601396,0.0,72482.76,197568. 
 01/03  05:00:00,15.0000020734785,678410.848359515,0.0,72482.76,197568. 
 01/03  06:00:00,21.9038252626475,5205443.98173315,0.0,144965.52,197568. 
 01/03  07:00:00,22.0000000000001,6157877.93773966,0.0,144965.52,197568. 
 01/03  08:00:00,22.0000000000002,4207830.13217885,0.0,434896.56,197568. 
 01/03  09:00:00,21.9999999999999,3613860.60032488,0.0,1219253.72325166,444528. 
 01/03  10:00:00,22.,2861626.5136874,0.0,761739.671642705,444528. 
 01/03  11:00:00,22.,2507385.56698644,0.0,130468.968,444528. 
 01/03  12:00:00,21.9999999999998,2038131.16556957,0.0,130468.968,444528. 
 01/03  13:00:00,21.9999999999998,1567929.35675097,0.0,130468.968,395136. 
 01/03  14:00:00,21.9999999999998,1957079.85875104,0.0,130468.968,444528. 
 01/03  15:00:00,22.,1997219.9574678,0.0,448494.70280099,444528. 
 01/03  16:00:00,22.,2143213.80496676,0.0,887208.952362058,444528. 
 01/03  17:00:00,22.,1872616.18437974,0.0,1304689.68,444528. 
 01/03  18:00:00,22.0000000000002,1681168.41429829,0.0,1014758.64,395136. 
 01/03  19:00:00,22.,1515873.15229269,0.0,724827.6,296352. 
 01/03  20:00:00,19.1970026177963,0.0,0.0,724827.6,296352. 
 01/03  21:00:00,19.0838124234132,0.0,0.0,434896.56,246960. 
 01/03  22:00:00,18.2646393082676,0.0,0.0,434896.56,246960. 
 01/03  23:00:00,17.5265113113861,0.0,0.0,144965.52,197568. 
 01/03  24:00:00,16.7677407891119,0.0,0.0,72482.76,197568. 
 01/04  01:00:00,15.8349935792072,0.0,0.0,72482.76,197568. 
 01/04  02:00:00,15.2366537725147,0.0,0.0,72482.76,197568. 
 01/04  03:00:00,15.0042137916556,355873.17522268,0.0,72482.76,197568. 
 01/04  04:00:00,15.0001852478181,763127.286552218,0.0,72482.76,197568. 
 01/04  05:00:00,15.0000130524957,1000823.80207664,0.0,72482.76,197568. 
 01/04  06:00:00,21.9046232980595,4682114.71474253,0.0,144965.52,197568. 
 01/04  07:00:00,22.0000000000002,6700034.03970221,0.0,144965.52,197568. 
 01/04  08:00:00,22.0000000000002,4721377.46710006,0.0,434896.56,197568. 
 01/04  09:00:00,22.,4505583.39019514,0.0,1260922.09793132,444528. 
