Date/Time,ZONE1:Zone Mean Air Temperature [C](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,15.0034759794012,765880.415246519,0.0,72482.76,197568. 
 01/01  02:00:00,15.0002270669306,1190220.92165763,0.0,72482.76,197568. 
 01/01  03:00:00,15.000021877064,1377855.74122454,0.0,72482.76,197568. 
 01/01  04:00:00,15.000002230822,1538891.13097556,0.0,72482.76,197568. 
 01/01  05:00:00,15.000000217625,1740036.37241714,0.0,72482.76,197568. 
 01/01  06:00:00,21.8931635196872,7063726.15987354,0.0,144965.52,197568. 
 01/01  07:00:00,21.9999999999948,7541835.56699975,0.0,144965.52,197568. 
 01/01  08:00:00,21.9999999999989,5450817.20029673,0.0,434896.56,197568. 
 01/01  09:00:00,21.9999999999998,5586144.58670237,0.0,1203058.75956606,444528. 
 01/01  10:00:00,22.0000000000002,4981344.30666124,0.0,130468.968,444528. 
 01/01  11:00:00,22.0000000000003,3016200.05735585,0.0,130468.968,444528. 
 01/01  12:00:00,22.0000000000001,2187240.06291993,0.0,130468.968,444528. 
 01/01  13:00:00,22.0000000000001,1782115.28687002,0.0,185978.391644164,395136. 
 01/01  14:00:00,22.,3010581.26449345,0.0,279503.873120606,444528. 
 01/01  15:00:00,22.,2986049.22730778,0.0,600337.102760832,444528. 
 01/01  16:00:00,22.,2868241.50800912,0.0,968237.02251725,444528. 
 01/01  17:00:00,22.,2862003.05660548,0.0,1304689.68,444528. 
 01/01  18:00:00,22.0000000000002,2641310.8725312,0.0,1014758.64,395136. 
 01/01  19:00:00,22.,2302016.36535271,0.0,724827.6,296352. 
 01/01  20:00:00,18.3135638735683,0.0,0.0,724827.6,296352. 
 01/01  21:00:00,18.0912378384834,0.0,0.0,434896.56,246960. 
 01/01  22:00:00,17.0216511084453,0.0,0.0,434896.56,246960. 
 01/01  23:00:00,16.0914016616542,0.0,0.0,144965.52,197568. 
 01/01  24:00:00,15.1544552537477,0.0,0.0,72482.76,197568. 
 01/02  01:00:00,15.0026543385609,577400.601878016,0.0,72482.76,197568. 
 01/02  02:00:00,15.0001563213937,1080029.67814363,0.0,72482.76,197568. 
 01/02  03:00:00,15.00001401471,1328733.28861577,0.0,72482.76,197568. 
 01/02  04:00:00,15.0000014582539,1484415.85530554,0.0,72482.76,197568. 
 01/02  05:00:00,15.0000001455808,1746544.69192894,0.0,72482.76,197568. 
 01/02  06:00:00,21.8927561751195,7077021.58604113,0.0,144965.52,197568. 
 01/02  07:00:00,21.9999999999945,7693799.70061183,0.0,144965.52,197568. 
 01/02  08:00:00,21.9999999999987,5581550.03991185,0.0,434896.56,197568. 
 01/02  09:00:00,21.9999999999997,5755960.51263992,0.0,1223746.56594031,444528. 
 01/02  10:00:00,22.0000000000001,5139525.92544947,0.0,227646.709686258,444528. 
 01/02  11:00:00,22.0000000000003,3742768.27697509,0.0,130468.968,444528. 
 01/02  12:00:00,22.,2073871.8900289,0.0,130468.968,444528. 
 01/02  13:00:00,23.2546343696875,0.0,0.0,130468.968,395136. 
