Date/Time,ZONE1:Zone Mean Air Temperature [C](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,15.0000000025696,958418.31461255,0.0,72482.76,197568. 
 01/01  02:00:00,15.0000000001957,1306000.94934206,0.0,72482.76,197568. 
 01/01  03:00:00,15.0000000000242,1391082.1477995,0.0,72482.76,197568. 
 01/01  04:00:00,15.0000000000025,1662059.87725096,0.0,72482.76,197568. 
 01/01  05:00:00,15.0000000000003,1833057.29758304,0.0,72482.76,197568. 
 01/01  06:00:00,21.8921042407538,7270678.19231265,0.0,144965.52,197568. 
 01/01  07:00:00,21.9999999999926,7624022.86348179,0.0,144965.52,197568. 
 01/01  08:00:00,21.9999999999985,5509109.49948687,0.0,434896.56,197568. 
 01/01  09:00:00,22.,5641792.07688489,0.0,1162665.76336262,444528. 
 01/01  10:00:00,22.,4564777.29099315,0.0,130468.968,444528. 
 01/01  11:00:00,22.,1061460.97668213,0.0,130468.968,444528. 
 01/01  12:00:00,23.9098309944326,0.0,0.0,130468.968,444528. 
 01/01  13:00:00,22.9288264506065,0.0,0.0,130468.968,395136. 
 01/01  14:00:00,22.0149947024734,1115504.60669308,0.0,130468.968,444528. 
 01/01  15:00:00,22.0000080493581,1876902.56736858,0.0,358402.947542498,444528. 
 01/01  16:00:00,22.000000925647,2223768.71014181,0.0,848242.741299073,444528. 
 01/01  17:00:00,22.0000001242668,2453925.6604756,0.0,1304689.68,444528. 
 01/01  18:00:00,22.0000000181985,2410502.53460827,0.0,1014758.64,395136. 
 01/01  19:00:00,22.000000002881,2200552.93845458,0.0,724827.6,296352. 
 01/01  20:00:00,17.703071536277,0.0,0.0,724827.6,296352. 
 01/01  21:00:00,17.7682042356559,0.0,0.0,434896.56,246960. 
 01/01  22:00:00,16.7145570951062,0.0,0.0,434896.56,246960. 
 01/01  23:00:00,15.8098121325387,0.0,0.0,144965.52,197568. 
 01/01  24:00:00,15.0006692583776,124064.589082911,0.0,72482.76,197568. 
 01/02  01:00:00,15.0000000020607,757927.589960189,0.0,72482.76,197568. 
 01/02  02:00:00,15.0000000001408,1184204.94008945,0.0,72482.76,197568. 
 01/02  03:00:00,15.0000000000147,1365140.87002818,0.0,72482.76,197568. 
 01/02  04:00:00,15.0000000000014,1571079.29594026,0.0,72482.76,197568. 
 01/02  05:00:00,15.0000000000002,1813694.92660029,0.0,72482.76,197568. 
 01/02  06:00:00,21.8919440418746,7235058.00004926,0.0,144965.52,197568. 
 01/02  07:00:00,21.9999999999926,7762907.33293875,0.0,144965.52,197568. 
 01/02  08:00:00,21.9999999999985,5631331.79359731,0.0,434896.56,197568. 
 01/02  09:00:00,21.9999999999998,5802992.73829181,0.0,1191116.97187271,444528. 
 01/02  10:00:00,22.,4888093.25782889,0.0,130468.968,444528. 
 01/02  11:00:00,22.,2716913.13451521,0.0,130468.968,444528. 
 01/02  12:00:00,23.5379821866091,0.0,0.0,130468.968,444528. 
 01/02  13:00:00,25.9838031483888,0.0,1970333.98704545,130468.968,395136. 
 01/02  14:00:00,25.9999999985884,0.0,3375897.89032868,130468.968,444528. 
 01/02  15:00:00,25.9999999998074,0.0,2932367.74895947,130468.968,444528. 
 01/02  16:00:00,25.9999999999916,0.0,798096.585223666,130468.968,444528. 
 01/02  17:00:00,24.7237219902609,0.0,0.0,1304689.68,444528. 
 01/02  18:00:00,23.5703778467718,0.0,0.0,1014758.64,395136. 
 01/02  19:00:00,22.5986337496187,0.0,0.0,724827.6,296352. 
 01/02  20:00:00,21.3849906664292,0.0,0.0,724827.6,296352. 
 01/02  21:00:00,20.6439370352533,0.0,0.0,434896.56,246960. 
 01/02  22:00:00,19.5443140268323,0.0,0.0,434896.56,246960. 
 01/02  23:00:00,18.5539294062948,0.0,0.0,144965.52,197568. 
 01/02  24:00:00,17.5917900553224,0.0,0.0,72482.76,197568. 
 01/03  01:00:00,16.8105854773174,0.0,0.0,72482.76,197568. 
 01/03  02:00:00,15.9847592572816,0.0,0.0,72482.76,197568. 
 01/03  03:00:00,15.2303652019345,0.0,0.0,72482.76,197568. 
 01/03  04:00:00,15.0039245709771,395792.102255997,0.0,72482.76,197568. 
 01/03  05:00:00,15.0001684630798,756183.065471493,0.0,72482.76,197568. 
 01/03  06:00:00,21.9044520171027,4981099.02480556,0.0,144965.52,197568. 
 01/03  07:00:00,21.9999999999999,6225410.92193595,0.0,144965.52,197568. 
 01/03  08:00:00,22.0000000000001,4242621.64783441,0.0,434896.56,197568. 
 01/03  09:00:00,22.0000000000001,3638457.45607467,0.0,1204951.32652391,444528. 
 01/03  10:00:00,22.,2900046.01048842,0.0,686583.996141543,444528. 
 01/03  11:00:00,22.,2475173.69721379,0.0,130468.968,444528. 
 01/03  12:00:00,21.9999999999998,1977139.77928,0.0,130468.968,444528. 
 01/03  13:00:00,22.0000000000002,1503768.64750368,0.0,130468.968,395136. 
 01/03  14:00:00,22.,1900990.38376898,0.0,130468.968,444528. 
 01/03  15:00:00,22.0000000000002,1985948.5703742,0.0,341106.061759755,444528. 
 01/03  16:00:00,22.,2128689.11828223,0.0,833196.761451903,444528. 
 01/03  17:00:00,22.0000000000002,1839561.61307156,0.0,1304689.68,444528. 
 01/03  18:00:00,22.,1663643.82300576,0.0,1014758.64,395136. 
 01/03  19:00:00,22.0000000000002,1508885.85216018,0.0,724827.6,296352. 
 01/03  20:00:00,19.0818048517086,0.0,0.0,724827.6,296352. 
 01/03  21:00:00,19.023161870914,0.0,0.0,434896.56,246960. 
 01/03  22:00:00,18.1956742163344,0.0,0.0,434896.56,246960. 
 01/03  23:00:00,17.4650663944002,0.0,0.0,144965.52,197568. 
 01/03  24:00:00,16.7060386205539,0.0,0.0,72482.76,197568. 
 01/04  01:00:00,15.7790476665813,0.0,0.0,72482.76,197568. 
 01/04  02:00:00,15.1796977291616,0.0,0.0,72482.76,197568. 
 01/04  03:00:00,15.0034872184156,395590.876682492,0.0,72482.76,197568. 
 01/04  04:00:00,15.0001613948881,790471.870635529,0.0,72482.76,197568. 
 01/04  05:00:00,15.0000118332889,1013444.90553715,0.0,72482.76,197568. 
 01/04  06:00:00,21.9038966974195,4859881.87864334,0.0,144965.52,197568. 
 01/04  07:00:00,22.0000000000002,6719202.47920671,0.0,144965.52,197568. 
 01/04  08:00:00,22.0000000000002,4731924.01274322,0.0,434896.56,197568. 
 01/04  09:00:00,21.9999999999999,4515212.89000343,0.0,1253441.14382825,444528. 
 01/04  10:00:00,22.,3929000.96258592,0.0,666623.26326964,444528. 
 01/04  11:00:00,22.,3578503.29124213,0.0,130468.968,444528. 
 01/04  12:00:00,21.9999999999998,2961622.29248477,0.0,130468.968,444528. 
 01/04  13:00:00,22.,1816444.35076531,0.0,130468.968,395136. 
 01/04  14:00:00,22.,2435557.45330708,0.0,130468.968,444528. 
 01/04  15:00:00,22.0000000000002,2541266.38380794,0.0,130468.968,444528. 
 01/04  16:00:00,22.,2806398.22299903,0.0,279931.230206417,444528. 
 01/04  17:00:00,22.,2615458.66843287,0.0,1304689.68,444528. 
 01/04  18:00:00,22.0000000000002,2427834.6390388,0.0,1014758.64,395136. 
 01/04  19:00:00,22.,2144683.90442178,0.0,724827.6,296352. 
 01/04  20:00:00,18.1422949177371,0.0,0.0,724827.6,296352. 
 01/04  21:00:00,18.1782159013665,0.0,0.0,434896.56,246960. 
 01/04  22:00:00,17.2867900078285,0.0,0.0,434896.56,246960. 
 01/04  23:00:00,16.4733252845362,0.0,0.0,144965.52,197568. 
 01/04  24:00:00,15.6252412614909,0.0,0.0,72482.76,197568. 
 01/05  01:00:00,15.0009611936332,79677.1115118729,0.0,72482.76,197568. 
 01/05  02:00:00,15.0000002420687,636507.9568682,0.0,72482.76,197568. 
 01/05  03:00:00,15.0000000142004,968926.42252534,0.0,72482.76,197568. 
 01/05  04:00:00,15.0000000012769,1123687.38251907,0.0,72482.76,197568. 
 01/05  05:00:00,15.0000000001133,1344447.46691087,0.0,72482.76,197568. 
 01/05  06:00:00,21.8969628293101,6358973.42708318,0.0,144965.52,197568. 
 01/05  07:00:00,21.9999999999983,7245923.03331352,0.0,144965.52,197568. 
 01/05  08:00:00,21.9999999999999,5200812.27550765,0.0,434896.56,197568. 
 01/05  09:00:00,22.0000000000001,5232598.37197042,0.0,1177176.12460468,444528. 
 01/05  10:00:00,22.0000000000001,4220189.42810617,0.0,130468.968,444528. 
 01/05  11:00:00,22.0000000000001,715961.238442048,0.0,130468.968,444528. 
 01/05  12:00:00,25.9103459141626,0.0,1075068.766469,130468.968,444528. 
 01/05  13:00:00,26.,0.0,3999818.61060122,130468.968,395136. 
 01/05  14:00:00,25.9999999999999,0.0,4671802.43885326,130468.968,444528. 
 01/05  15:00:00,25.9999999999999,0.0,3551775.24165278,130468.968,444528. 
 01/05  16:00:00,26.,0.0,1026878.05789687,130468.968,444528. 
 01/05  17:00:00,24.7669042161079,0.0,0.0,1304689.68,444528. 
 01/05  18:00:00,23.485893081445,0.0,0.0,1014758.64,395136. 
 01/05  19:00:00,22.431118150109,0.0,0.0,724827.6,296352. 
 01/05  20:00:00,21.0228893824342,0.0,0.0,724827.6,296352. 
 01/05  21:00:00,20.1686890729719,0.0,0.0,434896.56,246960. 
 01/05  22:00:00,18.8840293698537,0.0,0.0,434896.56,246960. 
 01/05  23:00:00,17.7369548443589,0.0,0.0,144965.52,197568. 
 01/05  24:00:00,16.606093027164,0.0,0.0,72482.76,197568. 
 01/06  01:00:00,15.6623383286608,0.0,0.0,72482.76,148176. 
 01/06  02:00:00,15.0018432756869,271871.484196902,0.0,72482.76,148176. 
 01/06  03:00:00,15.0000000251271,913007.709261735,0.0,72482.76,148176. 
 01/06  04:00:00,15.0000000018927,1259753.44858228,0.0,72482.76,148176. 
 01/06  05:00:00,15.0000000002356,1336479.36916695,0.0,72482.76,148176. 
 01/06  06:00:00,15.0000000000225,1600116.60957801,0.0,72482.76,148176. 
 01/06  07:00:00,21.8939681047681,6900008.45704115,0.0,144965.52,197568. 
 01/06  08:00:00,21.9999999999959,7223007.63652647,0.0,144965.52,197568. 
 01/06  09:00:00,21.9999999999994,5630004.61966902,0.0,703024.697478209,246960. 
 01/06  10:00:00,22.0000000000001,4544934.36211256,0.0,553437.961681322,246960. 
 01/06  11:00:00,22.0000000000001,3929618.05299735,0.0,72974.5358492677,246960. 
 01/06  12:00:00,22.0000000000002,3114524.5087854,0.0,72482.76,246960. 
 01/06  13:00:00,22.0000000000001,2377514.26974762,0.0,72482.76,246960. 
 01/06  14:00:00,22.0000000000002,2206071.42388953,0.0,72482.76,246960. 
 01/06  15:00:00,21.9999999999999,1350638.50359093,0.0,21744.828,172872. 
 01/06  16:00:00,22.0000000000001,1531612.19559338,0.0,36448.9034756559,172872. 
 01/06  17:00:00,22.,1827201.92343102,0.0,217448.28,172872. 
 01/06  18:00:00,19.0458141465576,0.0,0.0,72482.76,148176. 
 01/06  19:00:00,18.0577257394462,0.0,0.0,72482.76,148176. 
 01/06  20:00:00,16.9340154436903,0.0,0.0,72482.76,148176. 
 01/06  21:00:00,15.9094635362652,0.0,0.0,72482.76,148176. 
 01/06  22:00:00,15.0008293944969,134031.015147752,0.0,72482.76,148176. 
 01/06  23:00:00,15.0000000030673,789553.936679279,0.0,72482.76,148176. 
 01/06  24:00:00,15.0000000002019,1137016.48420769,0.0,72482.76,148176. 
 01/07  01:00:00,15.0000000000195,1241522.94055334,0.0,72482.76,148176. 
 01/07  02:00:00,15.0000000000019,1403269.23406199,0.0,72482.76,148176. 
 01/07  03:00:00,15.0000000000003,1560772.44349773,0.0,72482.76,148176. 
 01/07  04:00:00,14.9999999999999,1652234.58310401,0.0,72482.76,148176. 
 01/07  05:00:00,15.0000000000002,1778272.00392956,0.0,72482.76,148176. 
 01/07  06:00:00,15.0000000000001,1891161.30286713,0.0,72482.76,148176. 
 01/07  07:00:00,15.0000000000002,1987290.44091401,0.0,72482.76,148176. 
 01/07  08:00:00,15.0000000000001,1941095.41774127,0.0,72482.76,148176. 
 01/07  09:00:00,15.0000000000001,1875521.52789891,0.0,69631.765604294,148176. 
 01/07  10:00:00,15.0000000000001,1737658.92041087,0.0,55370.4175467815,148176. 
 01/07  11:00:00,15.,1544461.63368933,0.0,25992.0367812378,148176. 
 01/07  12:00:00,15.0000000000001,1327739.06290298,0.0,7248.276,148176. 
 01/07  13:00:00,15.0000000000001,1306873.1902696,0.0,7248.276,148176. 
