Date/Time,ZONE1:Zone Mean Air Temperature [C](Hourly),Heating:EnergyTransfer [J](Hourly),Cooling:EnergyTransfer [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,15.001095294022,826799.586992721,0.0,72482.76,197568. 
 01/01  02:00:00,15.0000755188774,1233576.26116531,0.0,72482.76,197568. 
 01/01  03:00:00,15.0000077327315,1397649.45615509,0.0,72482.76,197568. 
 01/01  04:00:00,15.0000007796959,1582331.97509082,0.0,72482.76,197568. 
 01/01  05:00:00,15.0000000763939,1776011.42867965,0.0,72482.76,197568. 
 01/01  06:00:00,21.8927324492155,7146547.80945006,0.0,144965.52,197568. 
 01/01  07:00:00,21.9999999999939,7578910.42732365,0.0,144965.52,197568. 
 01/01  08:00:00,21.9999999999985,5478911.31623745,0.0,434896.56,197568. 
 01/01  09:00:00,21.9999999999998,5612090.37714673,0.0,1188581.11232702,444528. 
 01/01  10:00:00,22.0000000000002,4888471.23886433,0.0,130468.968,444528. 
 01/01  11:00:00,22.0000000000001,2538177.01163974,0.0,130468.968,444528. 
 01/01  12:00:00,22.,1221337.6683369,0.0,130468.968,444528. 
 01/01  13:00:00,22.,1282953.45839018,0.0,130468.968,395136. 
 01/01  14:00:00,22.0000000000002,2777161.12224419,0.0,130468.968,444528. 
 01/01  15:00:00,22.,2850951.88322403,0.0,492618.058525181,444528. 
 01/01  16:00:00,21.9999999999998,2777855.07315195,0.0,915835.974124503,444528. 
 01/01  17:00:00,22.,2793240.91299087,0.0,1304689.68,444528. 
 01/01  18:00:00,22.0000000000002,2603457.17059491,0.0,1014758.64,395136. 
 01/01  19:00:00,22.,2293737.73427029,0.0,724827.6,296352. 
 01/01  20:00:00,18.1786426395349,0.0,0.0,724827.6,296352. 
 01/01  21:00:00,18.022274372006,0.0,0.0,434896.56,246960. 
 01/01  22:00:00,16.9482490656599,0.0,0.0,434896.56,246960. 
 01/01  23:00:00,16.024927095724,0.0,0.0,144965.52,197568. 
 01/01  24:00:00,15.0861902678042,0.0,0.0,72482.76,197568. 
 01/02  01:00:00,15.0008477318004,631437.180123655,0.0,72482.76,197568. 
 01/02  02:00:00,15.0000524629633,1116153.12015609,0.0,72482.76,197568. 
 01/02  03:00:00,15.0000049156984,1345742.02839323,0.0,72482.76,197568. 
 01/02  04:00:00,15.0000005030544,1514174.33418713,0.0,72482.76,197568. 
 01/02  05:00:00,15.0000000503374,1771990.96353259,0.0,72482.76,197568. 
 01/02  06:00:00,21.8924294094799,7139248.5986855,0.0,144965.52,197568. 
 01/02  07:00:00,21.9999999999936,7725449.11418969,0.0,144965.52,197568. 
 01/02  08:00:00,21.9999999999986,5605818.62591353,0.0,434896.56,197568. 
 01/02  09:00:00,22.0000000000001,5777991.20302613,0.0,1212286.445322,444528. 
 01/02  10:00:00,22.0000000000003,5132413.48626704,0.0,130468.968,444528. 
 01/02  11:00:00,22.0000000000003,3508360.91284538,0.0,130468.968,444528. 
 01/02  12:00:00,22.0000000000002,1534821.04565944,0.0,130468.968,444528. 
 01/02  13:00:00,24.7649490317439,0.0,0.0,130468.968,395136. 
 01/02  14:00:00,25.9809777818124,0.0,1196920.59784156,130468.968,444528. 
 01/02  15:00:00,25.9999977131891,0.0,3442882.44045555,130468.968,444528. 
 01/02  16:00:00,25.9999996786003,0.0,2983034.03416391,130468.968,444528. 
 01/02  17:00:00,25.5675353077724,0.0,0.0,1304689.68,444528. 
 01/02  18:00:00,24.2186595072013,0.0,0.0,1014758.64,395136. 
 01/02  19:00:00,23.2508779391614,0.0,0.0,724827.6,296352. 
 01/02  20:00:00,21.975288452526,0.0,0.0,724827.6,296352. 
 01/02  21:00:00,21.2271891581989,0.0,0.0,434896.56,246960. 
 01/02  22:00:00,20.0937765901549,0.0,0.0,434896.56,246960. 
 01/02  23:00:00,19.0832935931199,0.0,0.0,144965.52,197568. 
 01/02  24:00:00,18.0964222056505,0.0,0.0,72482.76,197568. 
 01/03  01:00:00,17.2974031869283,0.0,0.0,72482.76,197568. 
 01/03  02:00:00,16.4513827382028,0.0,0.0,72482.76,197568. 
 01/03  03:00:00,15.6789235212229,0.0,0.0,72482.76,197568. 
 01/03  04:00:00,15.003393922996,42883.1498106996,0.0,72482.76,197568. 
 01/03  05:00:00,15.0000000015052,531077.878729605,0.0,72482.76,197568. 
 01/03  06:00:00,21.9031752937491,5487186.64124198,0.0,144965.52,197568. 
 01/03  07:00:00,21.9999999999996,6044435.52127286,0.0,144965.52,197568. 
 01/03  08:00:00,21.9999999999999,4148632.46854712,0.0,434896.56,197568. 
 01/03  09:00:00,22.0000000000002,3579149.19095662,0.0,1223756.31455279,444528. 
 01/03  10:00:00,22.,2835508.9385882,0.0,789662.992243456,444528. 
 01/03  11:00:00,22.,2530284.31835623,0.0,130468.968,444528. 
 01/03  12:00:00,22.,2076277.66410908,0.0,130468.968,444528. 
 01/03  13:00:00,22.,1611352.69714807,0.0,130468.968,395136. 
 01/03  14:00:00,21.9999999999998,1993865.56494636,0.0,130468.968,444528. 
 01/03  15:00:00,21.9999999999997,1995545.20665676,0.0,477726.05903584,444528. 
 01/03  16:00:00,22.0000000000005,2161036.97072117,0.0,903006.752397749,444528. 
 01/03  17:00:00,22.0000000000003,1897776.12852032,0.0,1304689.68,444528. 
 01/03  18:00:00,22.0000000000002,1693398.19452644,0.0,1014758.64,395136. 
 01/03  19:00:00,22.0000000000002,1518341.60582075,0.0,724827.6,296352. 
 01/03  20:00:00,19.2670017937078,0.0,0.0,724827.6,296352. 
 01/03  21:00:00,19.1306033485945,0.0,0.0,434896.56,246960. 
 01/03  22:00:00,18.3105768833709,0.0,0.0,434896.56,246960. 
 01/03  23:00:00,17.5707516404682,0.0,0.0,144965.52,197568. 
 01/03  24:00:00,16.8147479479754,0.0,0.0,72482.76,197568. 
 01/04  01:00:00,15.876253724454,0.0,0.0,72482.76,197568. 
 01/04  02:00:00,15.2830249833451,0.0,0.0,72482.76,197568. 
 01/04  03:00:00,15.0046103057082,321828.547927105,0.0,72482.76,197568. 
 01/04  04:00:00,15.0001935073776,737609.332285949,0.0,72482.76,197568. 
 01/04  05:00:00,15.0000131736031,986976.080603595,0.0,72482.76,197568. 
 01/04  06:00:00,21.9053805848895,4495848.25185631,0.0,144965.52,197568. 
 01/04  07:00:00,22.0000000000003,6680483.86509009,0.0,144965.52,197568. 
 01/04  08:00:00,22.0000000000003,4709374.06626378,0.0,434896.56,197568. 
 01/04  09:00:00,22.0000000000001,4495903.18415876,0.0,1263229.49396192,444528. 
