DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
17.94,80.9,27.56,857.98,0.0
18.17,86.38,29.43,776.01,0.0
18.24,80.86,27.55,508.77,0.0
19.24,83.01,28.28,281.65,0.19
21.3,84.34,28.74,164.33,2.9
22.37,80.78,27.52,65.92,5.24
24.06,83.64,28.5,26.64,10.52
23.6,83.84,28.57,43.51,9.64
21.18,80.66,27.48,92.79,1.67
18.69,83.68,28.51,283.15,0.0
18.21,85.91,29.27,659.52,0.0
17.83,78.54,26.76,771.51,0.0
