DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
15.0,0.0,0.0,8433236809.84,0.0
19.17,3664409.13,1248521.0,10223168564.7,0.0
19.21,3664409.13,1248521.0,7592476595.38,0.0
19.18,3664409.13,1248521.0,9118747946.71,0.0
19.16,3664409.13,1248521.0,10227489576.4,0.0
19.17,3664409.13,1248521.0,10403526230.3,0.0
15.0,765096.41,260680.21,7305937411.45,0.0
15.0,0.0,0.0,6812649505.7,0.0
19.17,3664409.13,1248521.0,10732373651.4,0.0
19.16,3664409.13,1248521.0,10606960993.7,0.0
19.15,3664409.13,1248521.0,11954121762.0,0.0
19.17,3664409.13,1248521.0,10151108807.3,0.0
19.18,3664409.13,1248521.0,10602551591.2,0.0
15.0,765096.41,260680.21,4154786792.83,0.0
15.0,0.0,0.0,5865456765.97,0.0
19.21,3664409.13,1248521.0,7732409898.12,0.0
19.22,3664409.13,1248521.0,6719763588.33,0.0
19.17,3664409.13,1248521.0,9208311825.3,0.0
19.17,3664409.13,1248521.0,10819047558.9,0.0
19.18,3664409.13,1248521.0,8955519358.04,0.0
15.0,765096.41,260680.21,7919174167.68,0.0
15.0,0.0,0.0,6474250333.32,0.0
19.2,3664409.13,1248521.0,8290261749.38,0.0
19.18,3664409.13,1248521.0,9173242807.3,0.0
19.16,3664409.13,1248521.0,10429822114.7,0.0
19.16,3664409.13,1248521.0,12247500967.1,0.0
19.17,3664409.13,1248521.0,10480587484.1,0.0
15.0,765096.41,260680.21,7127858771.88,0.0
15.0,0.0,0.0,7159507518.35,0.0
19.18,3664409.13,1248521.0,8999174455.38,0.0
19.2,3664409.13,1248521.0,8514254448.5,0.0
19.2,3664409.13,1248521.0,7968117071.6,0.0
19.18,3664409.13,1248521.0,9230363222.94,0.0
19.18,3664409.13,1248521.0,9726660816.99,0.0
15.0,765096.41,260680.21,7021979059.21,0.0
15.0,0.0,0.0,6706983748.58,0.0
19.2,3664409.13,1248521.0,8569977468.84,0.0
19.22,3664409.13,1248521.0,7237492855.45,0.0
19.21,3664409.13,1248521.0,7154991355.58,0.0
19.21,3664409.13,1248521.0,8991932768.73,0.0
19.2,3664409.13,1248521.0,8838389574.29,0.0
15.0,765096.41,260680.21,6350657728.77,0.0
15.0,0.0,0.0,6248267488.69,0.0
19.21,3664409.13,1248521.0,8618109365.09,0.0
19.2,3664409.13,1248521.0,7979353662.91,0.0
19.19,3664409.13,1248521.0,8458369415.04,0.0
19.19,3664409.13,1248521.0,8999119092.8,0.0
19.19,3664409.13,1248521.0,9110094128.53,0.0
15.0,765096.41,260680.21,7565497218.36,0.0
15.0,0.0,0.0,6610918533.98,0.0
19.19,3664409.13,1248521.0,8829532872.31,0.0
19.17,3664409.13,1248521.0,10110400374.0,0.0
19.17,3664409.13,1248521.0,9887561519.98,0.0
19.17,3664409.13,1248521.0,9620429281.48,0.0
19.17,3664409.13,1248521.0,10069663021.6,0.0
15.0,765096.41,260680.21,9179691830.12,0.0
15.0,0.0,0.0,9010964988.5,0.0
19.17,3664409.13,1248521.0,11475883818.1,0.0
19.19,3664409.13,1248521.0,9953886510.37,0.0
19.19,3664409.13,1248521.0,8505216482.45,0.0
19.18,3664409.13,1248521.0,9433369098.29,0.0
19.19,3664409.13,1248521.0,9121035742.19,0.0
15.0,765096.41,260680.21,7838333300.37,0.0
15.0,0.0,0.0,6993188207.1,0.0
19.22,3664409.13,1248521.0,8697002031.32,0.0
19.23,3664409.13,1248521.0,8322956440.45,0.0
19.24,3664409.13,1248521.0,7866059537.7,0.0
19.25,3664409.13,1248521.0,7045165511.57,0.0
19.27,3664409.13,1248521.0,6380758603.05,0.0
15.06,765096.41,260680.21,3974326738.14,0.0
15.0,0.0,0.0,4776295167.77,0.0
19.34,3664409.13,1248521.0,6198833953.47,0.0
19.25,3664409.13,1248521.0,5340341531.07,0.0
19.19,3664409.13,1248521.0,7833872001.86,0.0
19.24,3664409.13,1248521.0,6712191414.0,0.0
19.25,3664409.13,1248521.0,6184486023.1,0.0
15.0,765096.41,260680.21,4281595420.96,0.0
15.01,0.0,0.0,2658825450.98,0.0
19.28,3664409.13,1248521.0,5813684858.49,0.0
19.38,3664409.13,1248521.0,4738737704.74,0.0
19.23,3664409.13,1248521.0,6204768103.78,0.0
19.29,3664409.13,1248521.0,5781170676.26,0.0
19.23,3664409.13,1248521.0,4507462616.68,0.0
15.0,765096.41,260680.21,5925755230.91,0.0
15.0,0.0,0.0,6987072485.33,0.0
