DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
17.98,19087142.07,6503285.2,63304583134.8,0.0
17.98,19087142.07,6503285.2,65014553104.1,0.0
17.99,19087142.07,6503285.2,57219683162.4,0.0
17.98,19087142.07,6503285.2,64223524227.8,0.0
17.99,19087142.07,6503285.2,58620056593.0,0.0
18.01,19087142.07,6503285.2,53850425500.2,0.0
18.0,19087142.07,6503285.2,56978810371.4,0.0
17.98,19087142.07,6503285.2,64308197433.5,0.0
17.99,19087142.07,6503285.2,65338689940.2,0.0
18.04,19087142.07,6503285.2,49279457069.3,0.0
18.04,19087142.07,6503285.2,41327615512.2,0.0
18.06,19087142.07,6503285.2,35630404641.8,0.0
18.02,19087142.07,6503285.2,48388959026.6,0.0
18.38,19087142.07,6503285.2,20433768150.7,0.0
18.07,19087142.07,6503285.2,35448039741.7,0.0
18.1,19087142.07,6503285.2,34439597967.2,0.0
18.2,19087142.07,6503285.2,28462570222.2,0.0
18.15,19087142.07,6503285.2,31907222772.8,0.0
18.44,19087142.07,6503285.2,30763075120.2,0.0
19.3,19087142.07,6503285.2,10513683928.5,0.0
19.35,19087142.07,6503285.2,15740982260.4,0.0
19.23,19087142.07,6503285.2,7217423496.34,0.0
18.79,19087142.07,6503285.2,14311243339.4,0.0
19.82,19087142.07,6503285.2,8049862008.11,13175973.85
20.08,19087142.07,6503285.2,12064961793.4,2741495.66
20.22,19087142.07,6503285.2,10912429873.8,0.0
21.78,19087142.07,6503285.2,3520225139.08,27524115.74
23.56,19087142.07,6503285.2,1321355126.73,149654887.72
21.67,19087142.07,6503285.2,3004067473.86,12092402.62
19.51,19087142.07,6503285.2,10071319129.5,0.0
21.62,19087142.07,6503285.2,4499652685.1,102652157.27
21.57,19087142.07,6503285.2,5012605841.33,19036119.62
22.69,19087142.07,6503285.2,2929180025.97,97118837.0
20.82,19087142.07,6503285.2,6559798124.54,82324216.12
18.65,19087142.07,6503285.2,12455942880.3,0.0
18.72,19087142.07,6503285.2,13661061615.1,0.0
19.34,19087142.07,6503285.2,10853693355.9,0.0
19.73,19087142.07,6503285.2,7405676254.81,0.0
18.31,19087142.07,6503285.2,17000420657.7,0.0
18.19,19087142.07,6503285.2,26709066192.2,0.0
18.12,19087142.07,6503285.2,24827365885.3,0.0
18.08,19087142.07,6503285.2,29784190295.0,0.0
18.14,19087142.07,6503285.2,27357486984.0,0.0
18.04,19087142.07,6503285.2,40730976487.6,0.0
18.01,19087142.07,6503285.2,44582279487.9,0.0
18.02,19087142.07,6503285.2,40504951240.3,0.0
17.98,19087142.07,6503285.2,64932909319.7,0.0
18.0,19087142.07,6503285.2,57272840478.5,0.0
18.0,19087142.07,6503285.2,54253295923.2,0.0
17.99,19087142.07,6503285.2,57743649551.4,0.0
17.99,19087142.07,6503285.2,54833669915.7,0.0
17.98,19087142.07,6503285.2,64700954191.7,0.0
