Date/Time,DIVA PERIMETER ZONE:Zone Mean Air Temperature [C](Hourly),InteriorLights:Electricity [kWh](Hourly),InteriorEquipment:Electricity [kWh](Hourly),Heating:EnergyTransfer [kW](Hourly),Cooling:EnergyTransfer [ton-hr](Hourly) 
 01/01  01:00:00,15.0,0.0,0.0,392568607.81,0.0
 01/01  02:00:00,15.0,0.0,0.0,399545181.92,0.0
 01/01  03:00:00,15.0,0.0,0.0,387776156.23,0.0
 01/01  04:00:00,15.0,0.0,0.0,384086985.6,0.0
 01/01  05:00:00,15.0,0.0,0.0,385658141.84,0.0
 01/01  06:00:00,15.0,0.0,0.0,389706420.69,0.0
 01/01  07:00:00,15.0,0.0,0.0,393125400.84,0.0
 01/01  08:00:00,15.0,0.0,0.0,387852349.9,0.0
 01/01  09:00:00,15.0,0.0,0.0,377935127.11,0.0
 01/01  10:00:00,15.0,0.0,0.0,368005214.53,0.0
 01/01  11:00:00,15.0,0.0,0.0,353262012.44,0.0
 01/01  12:00:00,15.0,0.0,0.0,334394290.55,0.0
 01/01  13:00:00,15.0,0.0,0.0,316205013.22,0.0
 01/01  14:00:00,15.0,0.0,0.0,306663549.56,0.0
 01/01  15:00:00,15.0,0.0,0.0,301629788.8,0.0
 01/01  16:00:00,15.0,0.0,0.0,296516275.14,0.0
 01/01  17:00:00,15.0,0.0,0.0,299326399.15,0.0
 01/01  18:00:00,15.0,0.0,0.0,308211148.05,0.0
 01/01  19:00:00,15.0,0.0,0.0,316393165.7,0.0
 01/01  20:00:00,15.0,0.0,0.0,326718211.09,0.0
 01/01  21:00:00,15.0,0.0,0.0,337374951.21,0.0
 01/01  22:00:00,15.0,0.0,0.0,348681689.31,0.0
 01/01  23:00:00,15.0,0.0,0.0,357878864.95,0.0
 01/01  24:00:00,15.0,0.0,0.0,363721864.21,0.0
 01/02  01:00:00,15.0,0.0,0.0,370190711.34,0.0
 01/02  02:00:00,15.0,0.0,0.0,376053749.76,0.0
 01/02  03:00:00,15.0,0.0,0.0,379456390.75,0.0
 01/02  04:00:00,15.0,0.0,0.0,383476992.15,0.0
 01/02  05:00:00,15.0,0.0,0.0,393081148.7,0.0
 01/02  06:00:00,21.91,0.0,0.0,828103740.87,0.0
 01/02  07:00:00,22.0,40268.23,13720.01,583424242.01,0.0
 01/02  08:00:00,22.0,80536.46,27440.02,576548337.96,0.0
 01/02  09:00:00,22.0,382548.21,130340.1,559784371.69,0.0
 01/02  10:00:00,22.0,382548.21,130340.1,542718186.74,0.0
 01/02  11:00:00,22.0,382548.21,130340.1,504483876.39,0.0
 01/02  12:00:00,22.0,382548.21,130340.1,452809917.97,0.0
 01/02  13:00:00,22.0,201341.16,68600.05,402631213.28,0.0
 01/02  14:00:00,22.0,382548.21,130340.1,384067902.93,0.0
 01/02  15:00:00,22.0,382548.21,130340.1,383719592.49,0.0
 01/02  16:00:00,22.0,382548.21,130340.1,383281579.92,0.0
 01/02  17:00:00,22.0,382548.21,130340.1,415219571.94,0.0
 01/02  18:00:00,22.0,120804.7,41160.03,447075691.35,0.0
 01/02  19:00:00,22.0,40268.23,13720.01,466922821.87,0.0
 01/02  20:00:00,17.23,40268.23,13720.01,73949912.12,0.0
 01/02  21:00:00,15.0,20134.12,6860.01,327335262.79,0.0
 01/02  22:00:00,15.0,20134.12,6860.01,337649067.93,0.0
 01/02  23:00:00,15.0,20134.12,6860.01,332184579.36,0.0
 01/02  24:00:00,15.0,20134.12,6860.01,318999702.41,0.0
 01/03  01:00:00,15.0,0.0,0.0,305502977.83,0.0
 01/03  02:00:00,15.0,0.0,0.0,298512554.04,0.0
 01/03  03:00:00,15.0,0.0,0.0,296070699.64,0.0
 01/03  04:00:00,15.0,0.0,0.0,293537940.87,0.0
 01/03  05:00:00,15.0,0.0,0.0,286595915.64,0.0
 01/03  06:00:00,21.92,0.0,0.0,695825536.01,0.0
 01/03  07:00:00,22.0,40268.23,13720.01,429866873.64,0.0
 01/03  08:00:00,22.0,80536.46,27440.02,408943840.79,0.0
 01/03  09:00:00,22.0,382548.21,130340.1,383394896.43,0.0
 01/03  10:00:00,22.0,382548.21,130340.1,357773859.43,0.0
 01/03  11:00:00,22.0,382548.21,130340.1,334284213.23,0.0
 01/03  12:00:00,22.0,382548.21,130340.1,312676110.08,0.0
 01/03  13:00:00,22.0,201341.16,68600.05,291562096.16,0.0
 01/03  14:00:00,22.0,382548.21,130340.1,296263728.67,0.0
 01/03  15:00:00,22.0,382548.21,130340.1,317069217.89,0.0
 01/03  16:00:00,22.0,382548.21,130340.1,338223899.83,0.0
 01/03  17:00:00,22.0,382548.21,130340.1,349115871.16,0.0
 01/03  18:00:00,22.0,120804.7,41160.03,352848756.6,0.0
 01/03  19:00:00,22.0,40268.23,13720.01,356972950.14,0.0
 01/03  20:00:00,18.13,40268.23,13720.01,0.0,0.0
 01/03  21:00:00,15.0,20134.12,6860.01,198531324.1,0.0
 01/03  22:00:00,15.0,20134.12,6860.01,223565899.4,0.0
 01/03  23:00:00,15.0,20134.12,6860.01,230190598.35,0.0
 01/03  24:00:00,15.0,20134.12,6860.01,235146835.45,0.0
 01/04  01:00:00,15.0,0.0,0.0,240096456.96,0.0
 01/04  02:00:00,15.0,0.0,0.0,250781122.16,0.0
 01/04  03:00:00,15.0,0.0,0.0,263700435.82,0.0
 01/04  04:00:00,15.0,0.0,0.0,277213425.42,0.0
 01/04  05:00:00,15.0,0.0,0.0,290056372.64,0.0
 01/04  06:00:00,21.92,0.0,0.0,718348327.08,0.0
 01/04  07:00:00,22.0,40268.23,13720.01,473587119.36,0.0
 01/04  08:00:00,22.0,80536.46,27440.02,470011841.8,0.0
 01/04  09:00:00,22.0,382548.21,130340.1,457147831.53,0.0
 01/04  10:00:00,22.0,382548.21,130340.1,444636905.85,0.0
 01/04  11:00:00,22.0,382548.21,130340.1,436833503.18,0.0
 01/04  12:00:00,22.0,382548.21,130340.1,430327037.44,0.0
 01/04  13:00:00,22.0,201341.16,68600.05,424670130.85,0.0
 01/04  14:00:00,22.0,382548.21,130340.1,429012225.07,0.0
 01/04  15:00:00,22.0,382548.21,130340.1,438884357.96,0.0
 01/04  16:00:00,22.0,382548.21,130340.1,448666279.84,0.0
 01/04  17:00:00,22.0,382548.21,130340.1,454174716.9,0.0
 01/04  18:00:00,22.0,120804.7,41160.03,457365019.44,0.0
 01/04  19:00:00,22.0,40268.23,13720.01,460162904.7,0.0
 01/04  20:00:00,17.34,40268.23,13720.01,56440921.23,0.0
 01/04  21:00:00,15.0,20134.12,6860.01,297359028.51,0.0
 01/04  22:00:00,15.0,20134.12,6860.01,296435435.07,0.0
 01/04  23:00:00,15.0,20134.12,6860.01,298848187.61,0.0
 01/04  24:00:00,15.0,20134.12,6860.01,303988360.29,0.0
 01/05  01:00:00,15.0,0.0,0.0,309082457.78,0.0
 01/05  02:00:00,15.0,0.0,0.0,312704221.96,0.0
 01/05  03:00:00,15.0,0.0,0.0,313803046.45,0.0
 01/05  04:00:00,15.0,0.0,0.0,315573897.38,0.0
 01/05  05:00:00,15.0,0.0,0.0,325743666.63,0.0
 01/05  06:00:00,21.91,0.0,0.0,764111493.58,0.0
 01/05  07:00:00,22.0,40268.23,13720.01,522028642.09,0.0
 01/05  08:00:00,22.0,80536.46,27440.02,520920661.33,0.0
 01/05  09:00:00,22.0,382548.21,130340.1,510646453.45,0.0
 01/05  10:00:00,22.0,382548.21,130340.1,500537633.24,0.0
 01/05  11:00:00,22.0,382548.21,130340.1,484094964.01,0.0
 01/05  12:00:00,22.0,382548.21,130340.1,464028816.33,0.0
 01/05  13:00:00,22.0,201341.16,68600.05,444024979.79,0.0
 01/05  14:00:00,22.0,382548.21,130340.1,434701282.62,0.0
 01/05  15:00:00,22.0,382548.21,130340.1,430625990.07,0.0
 01/05  16:00:00,22.0,382548.21,130340.1,427239135.05,0.0
 01/05  17:00:00,22.0,382548.21,130340.1,447838228.67,0.0
 01/05  18:00:00,22.0,120804.7,41160.03,476570844.04,0.0
 01/05  19:00:00,22.0,40268.23,13720.01,500468189.18,0.0
 01/05  20:00:00,17.02,40268.23,13720.01,110215429.04,0.0
 01/05  21:00:00,15.0,20134.12,6860.01,383936843.52,0.0
 01/05  22:00:00,15.0,20134.12,6860.01,408273351.67,0.0
 01/05  23:00:00,15.0,20134.12,6860.01,413168136.16,0.0
 01/05  24:00:00,15.0,20134.12,6860.01,407151212.37,0.0
 01/06  01:00:00,15.0,0.0,0.0,400629417.48,0.0
 01/06  02:00:00,15.0,0.0,0.0,393039911.92,0.0
 01/06  03:00:00,15.0,0.0,0.0,383990515.32,0.0
 01/06  04:00:00,15.0,0.0,0.0,375463369.64,0.0
 01/06  05:00:00,15.0,0.0,0.0,369497600.48,0.0
 01/06  06:00:00,21.91,0.0,0.0,787302862.15,0.0
 01/06  07:00:00,22.0,40268.23,13720.01,525504557.33,0.0
