HOY,xP,yP,zP,xV,yV,zV,,,
9,145656.5642,-135808.4332,18445.45408,-0.728282821,0.679042166,-0.09222727,-200000.00000,-200000,-200000
10,111575.4008,-160755.3426,41335.81701,-0.557877004,0.803776713,-0.206679085,-200000.00000,-200000,-200000
11,69893.61679,-178353.682,57487.79402,-0.349468084,0.89176841,-0.28743897,-200000.00000,-200000,-200000
12,23449.58257,-187404.036,65801.5529,-0.117247913,0.93702018,-0.329007764,-200000.00000,-200000,-200000
13,-24593.8522,-187289.0888,65711.03132,0.122969261,0.936445444,-0.328555157,-200000.00000,-200000,-200000
14,-70964.74822,-178015.6964,57222.51602,0.354823741,0.890078482,-0.28611258,-200000.00000,-200000,-200000
15,-112504.9067,-160214.4519,40914.24419,0.562524534,0.801072259,-0.204571221,-200000.00000,-200000,-200000
16,-146384.9649,-135096.7711,17897.05218,0.731924825,0.675483856,-0.089485261,-200000.00000,-200000,-200000
33,145978.1292,-135456.4225,18491.71112,-0.729890646,0.677282113,-0.092458556,-200000.00000,-200000,-200000
34,111945.1744,-160470.0047,41444.60791,-0.559725872,0.802350024,-0.20722304,-200000.00000,-200000,-200000
35,70286.19083,-178141.9281,57665.45599,-0.351430954,0.890709641,-0.28832728,-200000.00000,-200000,-200000
36,23837.98798,-187267.674,66049.7434,-0.11918994,0.93633837,-0.330248717,-200000.00000,-200000,-200000
37,-24236.29283,-187224.6998,66026.61514,0.121181464,0.936123499,-0.330133076,-200000.00000,-200000,-200000
38,-70662.58823,-178014.8707,57597.78156,0.353312941,0.890074353,-0.287988908,-200000.00000,-200000,-200000
39,-112278.8892,-160264.3678,41337.43409,0.561394446,0.801321839,-0.20668717,-200000.00000,-200000,-200000
40,-146250.5988,-135181.0765,18353.17172,0.731252994,0.675905382,-0.091765859,-200000.00000,-200000,-200000
57,146304.5183,-135094.1829,18562.0494,-0.731522591,0.675470914,-0.092810247,-200000.00000,-200000,-200000
58,112317.3312,-160175.1442,41578.12261,-0.561586656,0.800875721,-0.207890613,-200000.00000,-200000,-200000
59,70678.54287,-177920.8655,57868.03257,-0.353392714,0.889604328,-0.289340163,-200000.00000,-200000,-200000
60,24223.58132,-187121.7097,66322.57421,-0.121117907,0.935608549,-0.331612871,-200000.00000,-200000,-200000
61,-23883.94177,-187149.9282,66366.11855,0.119419709,0.935749641,-0.331830593,-200000.00000,-200000,-200000
62,-70367.67365,-178002.4494,57995.84907,0.351838368,0.890012247,-0.289979245,-200000.00000,-200000,-200000
63,-112061.6546,-160301.1261,41781.98828,0.560308273,0.80150563,-0.208909941,-200000.00000,-200000,-200000
64,-146125.9473,-135250.4211,18828.99677,0.730629737,0.676252105,-0.094144984,-200000.00000,-200000,-200000
81,146635.398,-134721.9144,18656.52206,-0.73317699,0.673609572,-0.09328261,-200000.00000,-200000,-200000
82,112691.5017,-159870.8931,41736.35108,-0.563457508,0.799354465,-0.208681755,-200000.00000,-200000,-200000
83,71070.29248,-177690.553,58095.44638,-0.355351462,0.888452765,-0.290477232,-200000.00000,-200000,-200000
84,24605.99752,-186966.1298,66619.901,-0.123029988,0.934830649,-0.333099505,-200000.00000,-200000,-200000
85,-23537.1236,-187064.6937,66729.33528,0.117685618,0.935323468,-0.333646676,-200000.00000,-200000,-200000
86,-70080.26624,-177978.2951,58416.45954,0.350401331,0.889891476,-0.292082298,-200000.00000,-200000,-200000
87,-111853.3838,-160324.5464,42247.60789,0.559266919,0.801622732,-0.211238039,-200000.00000,-200000,-200000
88,-146011.098,-135304.5985,19324.20415,0.73005549,0.676522993,-0.096621021,-200000.00000,-200000,-200000
105,146970.4289,-134339.8157,18775.16873,-0.734852144,0.671699078,-0.093875844,-200000.00000,-200000,-200000
106,113067.3128,-159557.3805,41919.26898,-0.565336564,0.797786902,-0.209596345,-200000.00000,-200000,-200000
107,71461.059,-177451.0467,58347.60542,-0.357305295,0.887255234,-0.291738027,-200000.00000,-200000,-200000
108,24984.87443,-186800.9179,66941.56508,-0.124924372,0.934004589,-0.334707825,-200000.00000,-200000,-200000
109,-23196.15701,-186968.9138,67116.04547,0.115980785,0.934844569,-0.335580227,-200000.00000,-200000,-200000
110,-69800.61931,-177942.27,58859.34169,0.349003097,0.88971135,-0.294296708,-200000.00000,-200000,-200000
111,-111654.2472,-160334.4496,42733.98343,0.558271236,0.801672248,-0.213669917,-200000.00000,-200000,-200000
112,-145906.1268,-135343.4061,19838.46208,0.729530634,0.67671703,-0.09919231,-200000.00000,-200000,-200000
129,147309.2653,-133948.0834,18918.0155,-0.736546327,0.669740417,-0.094590077,-200000.00000,-200000,-200000
130,113444.3888,-159234.733,42126.83764,-0.567221944,0.796173665,-0.210634188,-200000.00000,-200000,-200000
131,71850.46204,-177202.3997,58624.40312,-0.35925231,0.886011999,-0.293122016,-200000.00000,-200000,-200000
132,25359.85328,-186626.0553,67287.3935,-0.126799266,0.933130277,-0.336436967,-200000.00000,-200000,-200000
133,-22861.35447,-186862.5047,67526.01586,0.114306772,0.934312523,-0.337630079,-200000.00000,-200000,-200000
134,-69528.97748,-177894.2358,59324.21216,0.347644887,0.889471179,-0.296621061,-200000.00000,-200000,-200000
135,-111464.4048,-160330.6586,43240.79511,0.557322024,0.801653293,-0.216203976,-200000.00000,-200000,-200000
136,-145811.098,-135366.6448,20371.43041,0.72905549,0.676833224,-0.101857152,-200000.00000,-200000,-200000
153,147651.5566,-133546.9121,19085.07485,-0.738257783,0.667734561,-0.095425374,-200000.00000,-200000,-200000
154,113822.3514,-158903.0745,42359.00407,-0.569111757,0.794515373,-0.21179502,-200000.00000,-200000,-200000
155,72238.12184,-176944.6621,58925.71845,-0.361190609,0.884723311,-0.294628592,-200000.00000,-200000,-200000
156,25730.57901,-186441.5208,67657.19924,-0.128652895,0.932207604,-0.338285996,-200000.00000,-200000,-200000
157,-22533.02188,-186745.3808,67959.00006,0.112665109,0.933726904,-0.339795,-200000.00000,-200000,-200000
158,-69265.57646,-177834.0547,59810.77585,0.346327882,0.889170273,-0.299053879,-200000.00000,-200000,-200000
159,-111284.0059,-160312.998,43767.71311,0.55642003,0.80156499,-0.218838566,-200000.00000,-200000,-200000
160,-145726.0641,-135374.1198,20922.76101,0.728630321,0.676870599,-0.104613805,-200000.00000,-200000,-200000
177,147996.9469,-133136.4947,19276.34559,-0.739984735,0.665682473,-0.096381728,-200000.00000,-200000,-200000
178,114200.8201,-158562.5262,42615.70101,-0.571004101,0.792812631,-0.213078505,-200000.00000,-200000,-200000
179,72623.65975,-176677.8813,59251.41598,-0.363118299,0.883389407,-0.29625708,-200000.00000,-200000,-200000
180,26096.70073,-186247.2909,68050.78138,-0.130483504,0.931236454,-0.340253907,-200000.00000,-200000,-200000
181,-22211.45827,-186617.4553,68414.73877,0.111057291,0.933087277,-0.342073694,-200000.00000,-200000,-200000
182,-69010.64279,-177761.5888,60318.7262,0.345053214,0.888807944,-0.301593631,-200000.00000,-200000,-200000
183,-111113.1889,-160281.2945,44314.39795,0.555565945,0.801406473,-0.22157199,-200000.00000,-200000,-200000
184,-145651.066,-135365.6408,21492.09808,0.72825533,0.676828204,-0.10746049,-200000.00000,-200000,-200000
201,148345.0757,-132717.0213,19491.81284,-0.741725379,0.663585107,-0.097459064,-200000.00000,-200000,-200000
202,114579.4131,-158213.2062,42896.84691,-0.572897066,0.791066031,-0.214484235,-200000.00000,-200000,-200000
203,73006.69864,-176402.1017,59601.34607,-0.365033493,0.882010509,-0.29800673,-200000.00000,-200000,-200000
204,26457.87203,-186043.3396,68467.92531,-0.13228936,0.930216698,-0.342339627,-200000.00000,-200000,-200000
205,-21896.95542,-186478.6406,68892.96004,0.109484777,0.932393203,-0.3444648,-200000.00000,-200000,-200000
206,-68764.39359,-177676.7009,60847.74546,0.343821968,0.888383505,-0.304238727,-200000.00000,-200000,-200000
207,-110952.0814,-160235.3777,44880.50081,0.554760407,0.801176889,-0.224402504,-200000.00000,-200000,-200000
208,-145586.1327,-135341.0221,22079.07852,0.727930664,0.67670511,-0.110395393,-200000.00000,-200000,-200000
225,148695.5785,-132288.6802,19731.44796,-0.743477892,0.661443401,-0.09865724,-200000.00000,-200000,-200000
226,114957.7474,-157855.2299,43202.34603,-0.574788737,0.78927615,-0.21601173,-200000.00000,-200000,-200000
227,73386.86338,-176117.3651,59975.3449,-0.366934317,0.880586825,-0.299876725,-200000.00000,-200000,-200000
228,26813.7515,-185829.639,68908.40288,-0.134068757,0.929148195,-0.344542014,-200000.00000,-200000,-200000
229,-21589.79757,-186328.8478,69393.37951,0.107948988,0.931644239,-0.346966898,-200000.00000,-200000,-200000
230,-68527.03637,-177579.2546,61397.50507,0.342635182,0.887896273,-0.306987525,-200000.00000,-200000,-200000
231,-110800.7998,-160175.0797,45465.66388,0.554003999,0.800875399,-0.227328319,-200000.00000,-200000,-200000
232,-145531.2817,-135300.083,22683.3323,0.727656409,0.676500415,-0.113416662,-200000.00000,-200000,-200000
249,149048.0871,-131851.6567,19995.20852,-0.745240435,0.659258283,-0.099976043,-200000.00000,-200000,-200000
250,115335.4393,-157488.7098,43532.08848,-0.576677197,0.787443549,-0.217660442,-200000.00000,-200000,-200000
251,73763.78128,-175823.7103,60373.2347,-0.368818906,0.879118551,-0.301866174,-200000.00000,-200000,-200000
252,27164.00304,-185606.1592,69371.97269,-0.135820015,0.928030796,-0.346859863,-200000.00000,-200000,-200000
253,-21290.2611,-186167.9875,69915.70075,0.106451306,0.930839938,-0.349578504,-200000.00000,-200000,-200000
254,-68298.76871,-177469.1144,61967.66593,0.341493844,0.887345572,-0.30983833,-200000.00000,-200000,-200000
255,-110659.4494,-160100.2359,46069.52073,0.553297247,0.800501179,-0.230347604,-200000.00000,-200000,-200000
256,-145486.5187,-135242.6484,23304.4828,0.727432594,0.676213242,-0.116522414,-200000.00000,-200000,-200000
273,149402.2301,-131406.1338,20283.03831,-0.74701115,0.657030669,-0.101415192,-200000.00000,-200000,-200000
274,115712.105,-157113.7553,43885.95025,-0.578560525,0.785568777,-0.219429751,-200000.00000,-200000,-200000
275,74137.08258,-175521.1736,60794.82382,-0.370685413,0.877605868,-0.303974119,-200000.00000,-200000,-200000
276,27508.29633,-185372.8684,69858.38023,-0.137541482,0.926864342,-0.349291901,-200000.00000,-200000,-200000
277,-20998.61413,-185995.9698,70459.6155,0.104993071,0.929979849,-0.352298077,-200000.00000,-200000,-200000
278,-68079.77814,-177346.1463,62557.87879,0.340398891,0.886730732,-0.312789394,-200000.00000,-200000,-200000
279,-110528.124,-160010.6848,46691.69669,0.55264062,0.800053424,-0.233458483,-200000.00000,-200000,-200000
280,-145451.8376,-135168.5486,23942.14722,0.727259188,0.675842743,-0.119710736,-200000.00000,-200000,-200000
297,149757.6334,-130952.2917,20594.86728,-0.748788167,0.654761458,-0.102974336,-200000.00000,-200000,-200000
298,116087.3612,-156730.473,44263.7933,-0.580436806,0.783652365,-0.221318967,-200000.00000,-200000,-200000
299,74506.40086,-175209.7886,61239.90693,-0.372532004,0.876048943,-0.306199535,-200000.00000,-200000,-200000
300,27846.30723,-185129.7331,70367.35817,-0.139231536,0.925648666,-0.351836791,-200000.00000,-200000,-200000
301,-20715.11625,-185812.7046,71024.80397,0.103575581,0.929063523,-0.35512402,-200000.00000,-200000,-200000
302,-67870.24181,-177210.2177,63167.78457,0.339351209,0.886051089,-0.315838923,-200000.00000,-200000,-200000
303,-110406.9064,-159906.269,47331.80919,0.552034532,0.799531345,-0.236659046,-200000.00000,-200000,-200000
304,-145427.2207,-135077.6198,24595.93697,0.727136104,0.675388099,-0.122979685,-200000.00000,-200000,-200000
321,150113.9206,-130490.3075,20930.61155,-0.750569603,0.652451537,-0.104653058,-200000.00000,-200000,-200000
322,116460.8251,-156338.9664,44665.46564,-0.582304125,0.781694832,-0.223327328,-200000.00000,-200000,-200000
323,74871.37358,-174889.5864,61708.26516,-0.374356868,0.874447932,-0.308541326,-200000.00000,-200000,-200000
324,28177.7182,-184876.7182,70898.62658,-0.140888591,0.924383591,-0.354493133,-200000.00000,-200000,-200000
325,-20440.01815,-185618.1015,71610.93518,0.102200091,0.928090508,-0.358054676,-200000.00000,-200000,-200000
326,-67670.32633,-177061.198,63797.01474,0.338351632,0.88530599,-0.318985074,-200000.00000,-200000,-200000
327,-110295.8676,-159786.8347,47989.46822,0.551479338,0.798934173,-0.239947341,-200000.00000,-200000,-200000
328,-145412.6386,-134969.7046,25265.45805,0.727063193,0.674848523,-0.12632729,-200000.00000,-200000,-200000
345,150470.7137,-130020.3554,21290.17339,-0.752353569,0.650101777,-0.106450867,-200000.00000,-200000,-200000
346,116832.1155,-155939.3357,45090.8014,-0.584160577,0.779696679,-0.225454007,-200000.00000,-200000,-200000
